,residential,instit_communal_accom,pop_density,retail,jobs_density,btwn_centrality
South Kensington,0.2030864193288309,0.005895143467325778,12271.750042466847,0.020631043619419503,30219.112998920973,0.16179642249033901
South Kenton,0.12987185671813156,0.0014532245562475636,5580.157809905344,0.007309236915303188,5063.558774461943,0.015093904827745133
South Ruislip,0.05420502328140764,0.0012554749655575594,3447.63556019496,0.0038258513943761705,2879.393383680661,0.015093904827745133
South Wimbledon,0.11093071409034404,0.0010006224977095175,8169.845065973305,0.007319219881660419,11470.698059324615,0.007575757575757576
South Woodford,0.10493791136439426,0.0010771090776427806,6742.23253812446,0.0054706768764581125,3792.027565929328,0.06862829819103583
Southfields,0.1531129507800795,0.0009411005417860651,9642.464375737185,0.00916367260449203,3833.8779078250745,0.015093904827745133
Southgate,0.08292656471744836,0.0007056672652449226,5679.457862373347,0.004755761010774388,3723.655432288547,0.015093904827745133
Southwark,0.15206550729099966,0.0020489933298574563,10745.02937277845,0.011856987559990387,123249.6795767216,0.013114510120213566
St. James's Park,0.16319035736713436,0.005541642676939391,8487.785248008106,0.02447379691327561,123553.34341195089,0.02905720705150358
St. John's Wood,0.15990076456718394,0.004516342239208635,13886.576591105577,0.022096101156474618,7405.998410570481,0.003211775550178592
St. Paul's,0.13250114719096376,0.0032319916074618825,6418.169323620254,0.03931485218180963,322114.048107548,0.009978931081592674
Stamford Brook,0.1106025974137404,0.0014640014282400883,9880.926612723819,0.008990021623879109,11245.141176580395,0.0007921419518377693
Stanmore,0.10602788691174653,0.0014005298354843503,2808.8547190298027,0.00476917766046956,2180.292407532726,0.0
Stepney Green,0.13201908879360713,0.0027119627797945857,19217.33900987304,0.012558176404669972,19859.96456648999,0.0019741137611860044
Stockwell,0.17863183668298305,0.002383890358110619,16234.741450040221,0.009730437816957796,8716.547679005796,0.07691458309329033
Stonebridge Park,0.12935485878159048,0.0014754157927741203,5843.231646669895,0.007532972087398494,7642.135647205854,0.037302684641087686
Stratford,0.11720551109123,0.001290352933156497,10710.566350342244,0.015725970566995217,22766.440822452012,0.22732745708030905
Sudbury Hill,0.11422928692558826,0.0018019082474711801,5324.414700730786,0.010017866193611016,1806.2003313269884,0.0370465701739466
Sudbury Town,0.12147940582770601,0.0017988917112560672,5977.062777901713,0.010757892152503345,2843.5622755008885,0.03323948794481114
Swiss Cottage,0.15409428071881845,0.002399135330488031,15554.477127092525,0.016902315630692433,9586.383807786659,0.000561700656757691
Temple,0.1579275666865602,0.003433631215107939,6848.4783373624705,0.020012376652390827,211132.98072033984,0.007342915850520414
Theydon Bois,0.010713089271946917,0.00017763880599616828,763.2538780954042,0.0007421338860570595,184.91246316382512,0.007575757575757576
Tooting Bec,0.15693354552569758,0.0009357094271867436,10563.318219079487,0.009330731227609237,5911.613792353227,0.029957368360410186
Tooting Broadway,0.1508553984971118,0.0009442860989785403,12310.989227037384,0.00906495928860312,13500.291097138454,0.02255444175596267
Tottenham Court Road,0.15791299154877692,0.003791544430854368,9079.165412969678,0.020318077312586898,204020.2788059371,0.01892860343430689
Tottenham Hale LU,0.14367522393085214,0.0008762384087045988,8052.870585072671,0.008900655238938486,6299.973186165028,0.015093904827745133
Totteridge & Whetstone,0.09577283917284292,0.0011280245057029925,3703.3129969574165,0.0050222726130841515,3498.9068010134133,0.007575757575757576
Tower Hill,0.12884736899758228,0.0025741024983569638,10985.066736801988,0.019214187562972086,224007.20190746398,0.009014643995632619
Tufnell Park,0.16807642475891638,0.002148853371852551,13695.556726185974,0.014756199741854104,9651.274805634057,0.06610784652609748
Turnham Green,0.1016351896757061,0.0015367974685381305,9591.496620440392,0.00968791503988508,8754.054945587004,0.1307675021078064
Turnpike Lane,0.1529385343589223,0.0009552050379161057,12458.314379152624,0.008572698293949623,6469.624823448024,0.04459039059799516
Upminster,0.0553411315846535,0.0012241225057508227,2667.0213499308657,0.003730735204530682,1727.6929662186153,0.0
