wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08895323932077931,0.0
indicator,1,0.0897757063792601,-0.0028489282979445377
indicator,2,0.0874865063998218,-0.0062107154462630754
indicator,3,0.09011497404088348,0.0017548886428221983
indicator,4,0.09014924350165353,-0.04688718177632854
indicator,5,0.08888470039923922,-0.05198220871135854
indicator,6,0.088651668066003,-0.02864484331455934
indicator,7,0.08906975548739743,-1.0
ses,0,0.08868936447285003,0.0
ses,1,0.09011154709480648,-0.010576191995256631
ses,2,0.08863796028169496,-0.0054873565214069685
ses,3,0.08884357704631518,0.005200566699925857
ses,4,0.08821644591422353,-0.07200283848482372
ses,5,0.08967975188910399,-0.06341892048074299
ses,6,0.08976199859495211,-0.0819598737983005
ses,7,0.08832953513476467,-0.16732746058955497
neg_pow,0,0.09026918661434859,0.0
neg_pow,1,0.09021092853103957,0.034576043575066384
neg_pow,2,0.08976542554102912,-0.022013771659492073
neg_pow,3,0.08713010400781346,-0.05368205853137305
neg_pow,4,0.08908003632562844,-0.04245198188725733
neg_pow,5,0.08750021418412982,-0.09539249305241115
neg_pow,6,0.08935761895786572,-0.0541387036425663
neg_pow,7,0.09104367642775141,-0.09579542611347466
neg_exp,0,0.09038570278096673,0.0
neg_exp,1,0.08981682973218416,-0.007959696905892953
neg_exp,2,0.0885420057915389,-0.03853114769646045
neg_exp,3,0.08787032436044619,-0.04442508218811372
neg_exp,4,0.08962834769794897,0.00411991671714338
neg_exp,5,0.08864824111992596,-0.05692931108050032
neg_exp,6,0.08877846507085213,-0.025352936792272775
neg_exp,7,0.0881787495073765,-0.010534178987853679
