wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08852144411507684,0.0
indicator,1,0.08909717105601345,0.027201979581483293
indicator,2,0.08538236150854168,0.007774102803687069
indicator,3,0.08884357704631515,-0.0924115786966588
indicator,4,0.08872706087969703,-0.05835902821468828
indicator,5,0.08797313274275628,-0.0769071440942448
indicator,6,0.08939188841863574,-0.05777833214394629
indicator,7,0.08969688661948905,-1.0
ses,0,0.08883329620808417,0.0
ses,1,0.08991963811449427,-0.023270324476365328
ses,2,0.08852487106115386,-0.011579040778276957
ses,3,0.09067699319751203,-0.04032607268462937
ses,4,0.08974486386456712,-0.04807556068853632
ses,5,0.08901149740408834,-0.04086485506756436
ses,6,0.08986138003118521,-0.1006713791757004
ses,7,0.08908346327170544,-0.16922389115384845
neg_pow,0,0.08838436627199672,0.0
neg_pow,1,0.08990935727626326,-0.012363670739288995
neg_pow,2,0.08953239320779285,-0.04001245276291934
neg_pow,3,0.08829869262007164,-0.024894217939728396
neg_pow,4,0.0857833141995511,-0.06447586734331467
neg_pow,5,0.08844947824745977,-0.04266803233423991
neg_pow,6,0.08934048422748067,-0.051875415004126214
neg_pow,7,0.08800397525744935,-0.11387705728316494
neg_exp,0,0.08897722794331833,0.0
neg_exp,1,0.08816504172306852,0.0006282812990422829
neg_exp,2,0.08857284830623191,-0.045732158966205555
neg_exp,3,0.08891211596785528,-0.058274869737722376
neg_exp,4,0.08882986926200717,-0.038987382976141446
neg_exp,5,0.08904919381093537,-0.02400805234884321
neg_exp,6,0.08852829800723086,-0.03966688890930778
neg_exp,7,0.09005671595757442,-0.0008250014288891793
