wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08877846507085213,0.0
indicator,1,0.08851801716899983,-0.03800139137587595
indicator,2,0.08997789619780332,-0.01524288111052248
indicator,3,0.09051592673189288,-0.04580214678729436
indicator,4,0.0891485752471685,-0.033193884758046105
indicator,5,0.08970716745772003,-0.06429660034641496
indicator,6,0.08820273812991553,-0.058212846631905936
indicator,7,0.0909203063689793,-1.0
ses,0,0.08982368362433818,0.0
ses,1,0.08877503812477511,-0.015222377730823456
ses,2,0.08832268124261064,-0.014008143967032038
ses,3,0.08926509141378661,-0.04998700422285339
ses,4,0.08694162197357827,-0.0713888254185257
ses,5,0.0892548105755556,-0.03452172737036723
ses,6,0.08929936087455663,-0.028465483137285544
ses,7,0.08846318603176781,-0.14767458843333792
neg_pow,0,0.09014238960949951,0.0
neg_pow,1,0.08835009681122669,-0.014426598454299819
neg_pow,2,0.0880896489093744,-0.020073044951691224
neg_pow,3,0.08927879919809464,-0.023235099470310546
neg_pow,4,0.08950840458525386,-0.06056002236018258
neg_pow,5,0.08785661657613818,-0.06269572924428662
neg_pow,6,0.08681482496872911,-0.07794493569185709
neg_pow,7,0.08889840818354722,-0.10211551359396548
neg_exp,0,0.08950497763917684,0.0
neg_exp,1,0.08878189201692913,-0.03505725028173655
neg_exp,2,0.08863110638954094,-0.03856075067512182
neg_exp,3,0.08756189921351587,-0.03262729291389149
neg_exp,4,0.08944329260979078,-0.022061710316676024
neg_exp,5,0.08883329620808418,-0.03214830072558009
neg_exp,6,0.09102654169736642,0.00015651926669206856
neg_exp,7,0.08868936447285003,-0.02402023448829058
