wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08820959202206953,0.0
indicator,1,0.08858998303661691,-0.03302280589253859
indicator,2,0.08886071177670021,-0.055821214508463925
indicator,3,0.0894570003940988,-0.040974029704512076
indicator,4,0.08948784290879186,-0.07190690513247558
indicator,5,0.08890526207570124,-0.038983613825571514
indicator,6,0.08938160758040471,-0.09227723446346367
indicator,7,0.08767156148798,-1.0000000000000002
ses,0,0.08870649920323505,0.0
ses,1,0.08922054111478556,-0.01135883521390529
ses,2,0.08869279141892703,-0.016266625414355383
ses,3,0.08850430938469181,-0.031998233669386
ses,4,0.08786004352221516,-0.023632233512163734
ses,5,0.08809992974760542,-0.05749574228898989
ses,6,0.09028632134473366,-0.050881682940630016
ses,7,0.08921711416870855,-0.1952079591015372
neg_pow,0,0.08842548962492078,0.0
neg_pow,1,0.0903205908055037,-0.012942902591024184
neg_pow,2,0.08794914412021726,-0.023445258574917707
neg_pow,3,0.08960778602148696,-0.008389347713576578
neg_pow,4,0.08724662017443155,-0.055341759547292826
neg_pow,5,0.08774352735559708,-0.04627168487160595
neg_pow,6,0.08839807405630473,-0.059898423433813935
neg_pow,7,0.09082092493274617,-0.12087530802948446
neg_exp,0,0.09002930038895839,0.0
neg_exp,1,0.0883775123798427,-0.015479912178211614
neg_exp,2,0.087654426757595,-0.035742764015913635
neg_exp,3,0.08849060160038381,-0.008812404432122608
neg_exp,4,0.08839464711022772,-0.03206461591011278
neg_exp,5,0.08880588063946813,-0.060399869337069284
neg_exp,6,0.08768184232621101,-0.007463237165166788
neg_exp,7,0.08870307225715804,-0.019628859273391877
