wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08892582375216326,0.0
indicator,1,0.08978598721749112,-0.0058528688013033845
indicator,2,0.08997104230564931,-0.04650017706484891
indicator,3,0.08948441596271481,-0.053044257428283594
indicator,4,0.08948098901663783,-0.018058106617021345
indicator,5,0.08815818783091448,-0.001590015337238032
indicator,6,0.08794229022806328,-0.06319000124350968
indicator,7,0.08973115608025908,-1.0
ses,0,0.08880930758554514,0.0
ses,1,0.08980654889395316,-0.002703191526425871
ses,2,0.08783262795359917,-0.03204806818831516
ses,3,0.08912801357070649,-0.033711335048413234
ses,4,0.09060160038381794,-0.05110433484997051
ses,5,0.08911773273247547,-0.05012854531606774
ses,6,0.08961121296756394,-0.07239150645616452
ses,7,0.08987851476157022,-0.17176462254372965
neg_pow,0,0.08908346327170542,0.0
neg_pow,1,0.08861397165915594,-0.02189750482439109
neg_pow,2,0.0898682339233392,-0.026368341731837622
neg_pow,3,0.08868251058069603,-0.03249367236021201
neg_pow,4,0.08868936447285003,-0.026626751113681187
neg_pow,5,0.08854543273761589,-0.02741037482409918
neg_pow,6,0.08959065129110194,-0.09702771370162178
neg_pow,7,0.08819245729168451,-0.07691106469006062
neg_exp,0,0.08839807405630473,0.0
neg_exp,1,0.08839122016415071,-0.010060924469534799
neg_exp,2,0.08925823752163262,0.0009491507926631363
neg_exp,3,0.08916570997755349,-0.02002200394467673
neg_exp,4,0.08987166086941623,-0.034323370380638984
neg_exp,5,0.0891759908157845,-0.03771523805856573
neg_exp,6,0.08909717105601342,-0.004813070559794238
neg_exp,7,0.08890868902177823,-0.0339939241756605
