,sim_0,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70,sim_71,sim_72,sim_73,sim_74,sim_75,sim_76,sim_77,sim_78,sim_79,sim_80,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90,sim_91,sim_92,sim_93,sim_94,sim_95,sim_96,sim_97,sim_98,sim_99
indicator_0,0.09387433388735626,0.1012902451979918,0.0839498980483542,0.09964531108103014,0.0923185003683967,0.07898082623669916,0.08567707887116394,0.08717122736073749,0.08608831240040438,0.08593067288086222,0.09385377221089428,0.07785678792344203,0.10134507633522384,0.10652661880365312,0.09235962372132074,0.08361405733280784,0.07159233049467964,0.08487517348914515,0.08939874231078974,0.09992632065934443,0.08274361302924901,0.087678415380134,0.0864858381453368,0.08931649560494166,0.09030345607511867,0.07937149808947758,0.09065985846712707,0.09384691831874023,0.07930295916793749,0.09052278062404685,0.0798786861088741,0.0930929901817995,0.10286664039341341,0.09438152190675278,0.08096160106920722,0.08455989445006082,0.09461455423998906,0.09551241411216395,0.0830588920683333,0.09484073268107125,0.08710954233135144,0.10842514693031305,0.08160586693168383,0.0816812597453779,0.0912287315159096,0.08788403214475421,0.07819262863898836,0.08338787889172564,0.09747948116036396,0.09101626085913538,0.07678758074741694,0.09116704648652355,0.08748650639982182,0.0917290656431521,0.09083120577097718,0.10209215058001064,0.0842171998423605,0.08249001901955075,0.08227754836277656,0.08474494953821904,0.09837734103253884,0.08798684052706429,0.08870649920323508,0.08156474357875977,0.09518342728877165,0.08531382258700163,0.10065283322766914,0.07957711485409776,0.09758228954267405,0.08972772913418207,0.08332619386233957,0.08325765494079951,0.09063244289851097,0.09528623567108169,0.09011154709480647,0.08745909083120579,0.08704100340981137,0.0908928908003633,0.07795959630575214,0.08923424889909358,0.09205119857439044,0.07239423587669849,0.09148917941776186,0.08236664896077861,0.08889840818354725,0.08950155069309985,0.09253782491732496,0.08239406452939467,0.09864464282654516,0.08188687650999811,0.07839824540360854,0.09522455064169563,0.102462260756327,0.09262007162317298,0.10026901526704478,0.08291496033309916,0.0752797244735354,0.09151659498637792,0.08958379739894792,0.09686263086650332
indicator_1,0.09098199139836534,0.08763729202720996,0.09604016380802248,0.07710285978650125,0.08957694350679395,0.08800740220352636,0.08996761535957229,0.09758914343482805,0.08691763335103925,0.09123558540806363,0.07875464779561692,0.08440225493051869,0.09015267044773048,0.09424444406367266,0.08037216634396258,0.08497798187145524,0.087650999811518,0.09394972670105038,0.09575915422970821,0.09514230393584758,0.09360017820119598,0.0880896489093744,0.0854029231850037,0.09972070389472425,0.08150305854937374,0.08588954952793819,0.07946059868747966,0.0914069327119138,0.08516303695961346,0.08695875670396325,0.08496427408714724,0.09157142612360993,0.09351107760319391,0.07806925858021621,0.09664330631757509,0.08638302976302667,0.09409365843628455,0.09246243210363088,0.09027604050650263,0.10444303558883504,0.08710954233135143,0.08743852915474375,0.07937835198163157,0.08401158307774027,0.08743167526258976,0.09226366923116465,0.0788985795308511,0.08843919740922875,0.09807576977776254,0.08517674474392145,0.08179777591199605,0.08151676633368174,0.08867222974246501,0.08161957471599182,0.07218176521992427,0.0936961326913521,0.08667774712564898,0.09501893387707545,0.0880896489093744,0.08253114237247479,0.07771285618820788,0.0856016860574699,0.0939154572402803,0.08748650639982182,0.08792515549767824,0.08938503452648175,0.09014581655557652,0.09763026678775209,0.0871986429293535,0.08503966690084135,0.08279844416648102,0.0923253542605507,0.08846661297784479,0.08698617227257929,0.08511505971453541,0.08774695430167405,0.1016740631586162,0.09676667637634719,0.09333287640718974,0.10254450746217508,0.08347697948972775,0.08179777591199602,0.0959716248864824,0.0892548105755556,0.0919072668391563,0.08765099981151797,0.08238035674508662,0.101454738609688,0.09560836860232004,0.08948098901663784,0.10783571220506845,0.08682167886088311,0.08619797467486848,0.08385394355819811,0.09466253148506709,0.09105053031990543,0.09001559260465036,0.07990610167749013,0.08267507410770891,0.06802145268244204
indicator_2,0.09075581295728313,0.0889806548893953,0.10119429070783574,0.09982351227703434,0.08936447285001968,0.09095457582974932,0.09228423090762665,0.09388804167166429,0.0798992477853361,0.09048851116327686,0.09279141892702317,0.0907283973886671,0.08114665615736535,0.09813745480714861,0.07861756995253683,0.0923253542605507,0.08556741659669985,0.08218844776477442,0.07682870410034098,0.08874076866400504,0.09297647401518136,0.08901492435016536,0.06840527064306645,0.08736999023320369,0.1032230427854218,0.0910368225355974,0.08619797467486849,0.08496427408714724,0.09861037336577506,0.08024879628519045,0.09031030996727263,0.10347663679512004,0.0848271962440671,0.08479978067545108,0.08551943935162179,0.09948767156148795,0.09040626445742878,0.09420332071074862,0.09477904765168525,0.07019413649526224,0.0944157913675228,0.08303147649971727,0.09506005722999947,0.08821301896814653,0.0885762752523089,0.08853515189938488,0.09740408834666989,0.09736296499374579,0.08131800346121554,0.09736296499374586,0.0930175973681054,0.08185260704922809,0.07750723942358768,0.0838676513425061,0.0853343842634636,0.08741796747828175,0.08919997943832356,0.09243501653501485,0.09614982608248661,0.09464196980860506,0.09591679374925036,0.0909477219375953,0.0923870392899368,0.09316838299549358,0.10735593975428798,0.08814448004660645,0.08098901663782321,0.08601291958671031,0.08412809924435842,0.09244187042716882,0.08998132314388031,0.09629375781772075,0.0865955004198009,0.09974811946334024,0.08939874231078977,0.09007042374188245,0.09264063329963503,0.08510820582238138,0.09878172066962525,0.08845975908569081,0.09466253148506708,0.08950155069309985,0.0914206404962218,0.08292181422525316,0.09736296499374583,0.09791127636606639,0.08086564657905108,0.09259265605455697,0.0933054608385737,0.09281883449563921,0.08711639622350542,0.08690392556673122,0.08170182142183995,0.08580730282209009,0.09455972310275698,0.08245574955878068,0.08751392196843782,0.08557427048885383,0.09284625006425522,0.08853515189938489
indicator_3,0.07991980946179812,0.10135193022737789,0.08952896626171587,0.09076266684943711,0.08192114597076812,0.09286681174071727,0.09355220095611798,0.08782234711536811,0.10030328472781481,0.08665033155703293,0.09525196621031165,0.09116019259436955,0.0849231507342232,0.09099569918267338,0.07962509209917583,0.08588269563578418,0.08284642141155907,0.09188670516269425,0.09060502732989496,0.08340158667603365,0.0812563184318295,0.09434725244598276,0.09185243570192422,0.10259248470725314,0.08612258186117441,0.0853480920477716,0.09676667637634721,0.09445006082829288,0.09812374702284062,0.08539606929284971,0.09662274464111306,0.09671184523911518,0.0956769075238601,0.08632134473364063,0.08828841178184062,0.08775380819382808,0.09253782491732493,0.08647213036102878,0.0890423399187814,0.09500522609276747,0.09177704288823015,0.08564280941039394,0.09194153629992635,0.08878189201692911,0.08530011480269356,0.09558095303370402,0.0860266273710183,0.09948767156148801,0.11034423673343503,0.0964445434451089,0.07756207056081973,0.09621151111187262,0.08132485735336957,0.08175665255907198,0.08988536865372425,0.0889600932129333,0.07576635081646992,0.09854868833638902,0.10338068230496389,0.08282585973509708,0.0808793543633591,0.10244169907986496,0.088658521958157,0.09148232552560785,0.08077654598104902,0.07727420709035143,0.08865166806600298,0.07845307654084062,0.07672589571803089,0.07924127413855142,0.11066636966467334,0.08755504532136188,0.09837048714038484,0.0809821627456692,0.08238035674508662,0.08780863933106015,0.0885762752523089,0.08267507410770894,0.09563578417093607,0.08587584174363015,0.09048165727112284,0.0800705950891863,0.08386765134250612,0.08087250047120509,0.0870821267627354,0.08504652079299531,0.09078322852589917,0.08758246088997795,0.09307928239749144,0.09088603690820926,0.09823340929730474,0.08478607289114304,0.0863076369493326,0.08716437346858348,0.08140710405921764,0.09810318534637857,0.0994122787477939,0.07760319391374376,0.08881616147769915,0.07425849454258834
indicator_4,0.09107109199636747,0.09668442967049913,0.09236647761347476,0.08691077945888519,0.08923424889909358,0.07743870050204761,0.08416236870512842,0.08812391837014444,0.07289457000394098,0.08379911242096605,0.09048165727112283,0.07180480115145386,0.08527269923407756,0.09810318534637859,0.0880827950172204,0.0956837614160141,0.08428573876390055,0.0823597950686246,0.09136580935898973,0.08583471839070611,0.09513545004369357,0.0962663422491047,0.08265451243124693,0.08692448724319322,0.09852127276777302,0.08619112078271447,0.09267490276040509,0.08991963811449426,0.07767858672743787,0.08054351364781276,0.09767824403283015,0.08459416391083086,0.08532067647915559,0.10508044755915769,0.089659190212642,0.08671201658641901,0.09743150391528586,0.09379894107366218,0.08174294477476397,0.08353181062695979,0.09225681533901064,0.09167423450592006,0.08275046692140303,0.0887476225561591,0.0927023183290211,0.09066671235928106,0.08353181062695979,0.08930964171278766,0.08911087884032141,0.09217456863316258,0.10253079967786703,0.08710954233135142,0.0956563458473981,0.09514915782800158,0.08278473638217304,0.08227069447062252,0.08745909083120577,0.08551258545946779,0.11715700553451792,0.09221569198608659,0.08890526207570124,0.09516971950446362,0.08506022857730333,0.08575932557701203,0.09107109199636743,0.08435427768544064,0.06941279278970544,0.09682150751357928,0.08778122376244411,0.07996778670687617,0.08320282380356742,0.08811706447799042,0.1013656380116859,0.08582101060639813,0.09763026678775212,0.08671887047857303,0.07087952571066296,0.09214715306454654,0.08095474717705316,0.09173591953530612,0.09181816624115421,0.08857627525230892,0.08144137351998766,0.09423073627936467,0.084724387861757,0.091667380613766,0.09160569558437999,0.08194170764723013,0.08553314713592981,0.09238018539778277,0.08349068727403575,0.09640342009218485,0.08161957471599186,0.09438152190675281,0.09336029197580577,0.08619797467486848,0.0835455184112678,0.08215417830400443,0.09418275903428662,0.08220900944123646
indicator_5,0.10291461763849145,0.08085879268689707,0.09323006802487963,0.08916570997755349,0.09022806326142459,0.0919072668391563,0.09760285121913609,0.0940936584362845,0.09257209437809495,0.09547129075923991,0.0850876441459194,0.09697914703312144,0.08655437706687685,0.08443652439128871,0.08759616867428589,0.08668460101780301,0.09095457582974929,0.10105035897260159,0.09294905844656533,0.08595808844947823,0.08120148729459743,0.08762358424290195,0.09116019259436954,0.09003615428111239,0.10717773855828379,0.08989222254587825,0.09235962372132074,0.08952896626171586,0.09459399256352703,0.08790459382121626,0.08795257106629428,0.08647898425318278,0.08216103219615839,0.07889172563869706,0.09214715306454652,0.10105035897260159,0.08291496033309917,0.09027604050650266,0.09576600812186217,0.08850773633076887,0.10237316015832493,0.08618426689056045,0.08646527646887475,0.08152362022583574,0.09832250989530679,0.08599921180240229,0.08566337108685597,0.09787700690529635,0.08565651719470196,0.09617724165110261,0.09236647761347476,0.08079710765751101,0.0914549099569918,0.0832713627251075,0.08353866451911375,0.09690375421942737,0.08708212676273537,0.09341512311303783,0.09233220815270474,0.09405253508336048,0.09333973029934377,0.09996059012011446,0.07774712564897794,0.08594438066517025,0.0855537088123918,0.07897397234454516,0.10234574458970891,0.09034457942804272,0.09235276982916674,0.09037884888881277,0.08206507770600228,0.08584157228286012,0.09401826562259044,0.08432000822467058,0.09737667277805384,0.09741779613097788,0.08319596991141347,0.0843131543325166,0.09760285121913609,0.09675982248419321,0.08621853635133052,0.09370984047566011,0.08939188841863571,0.08542348486146571,0.08530011480269363,0.09595791710217441,0.08642415311595075,0.08104384777505527,0.08880245369339114,0.0908517674474392,0.08495056630283923,0.07872037833484694,0.1019893421977005,0.09922036976748169,0.09599904045509844,0.09089974469251726,0.08659550041980092,0.09758914343482805,0.08679426329226711,0.09046794948681483
indicator_6,0.09554668357293396,0.07586915919878,0.1050256164219256,0.08173609088260998,0.08553314713592983,0.09358647041688804,0.08289439865663714,0.08546460821438971,0.0983225098953068,0.091612549476534,0.08620482856702252,0.07631466218879045,0.09813060091499459,0.09577286201401623,0.08734942855674163,0.08691077945888523,0.09889138294408938,0.09388118777951028,0.10587549904902253,0.08408697589143434,0.08494371241068524,0.08399102140127823,0.08722605849796952,0.08229125614708453,0.07928239749147548,0.09742465002313187,0.08368945014650195,0.07185963228868596,0.08811706447799045,0.09464882370075907,0.09074210517297508,0.09608814105310051,0.09025547883004059,0.09654735182741901,0.09228423090762669,0.09329860694641973,0.09245557821147687,0.088665375850311,0.0860883124004044,0.09941227874779389,0.0904268261338908,0.0953616284847758,0.08233923339216256,0.0918250201333082,0.09346995425026987,0.09866520450300713,0.07728106098250544,0.07190075564160997,0.09118075427083153,0.07940576755024759,0.08381282020527409,0.07487534483644899,0.08961121296756394,0.09091345247682532,0.08051609807919673,0.0853275303713096,0.08093418550059116,0.09574544644540016,0.08953582015386989,0.08402529086204831,0.08520416031253746,0.0923322081527047,0.08329192440156953,0.09148232552560787,0.08349068727403577,0.09145490995699182,0.08885043093846917,0.1108514247528315,0.10205788111924062,0.07975531605010197,0.09197580576069633,0.0905227806240469,0.09366871712273607,0.09198951354500438,0.08961806685971796,0.08802110998783437,0.09278456503486915,0.09432669076952074,0.09074895906512911,0.09728757218005177,0.09404568119120646,0.0946693853772211,0.08421034595020646,0.09111906924144549,0.08710268843919743,0.08980312194787614,0.0842171998423605,0.07915217354054936,0.08538236150854167,0.08734257466458764,0.0853001148026936,0.08310686931341135,0.09388804167166431,0.09611555662171657,0.09283254227994722,0.09293535066225735,0.09088603690820925,0.08801425609568034,0.07513579273830126,0.09449803807337093
indicator_7,0.09430612909305874,0.09797296139545243,0.0913109782217577,0.10309967272664965,0.08885043093846917,0.09301759736810544,0.10251709189355905,0.07296310892548107,0.09180445845684619,0.07751409331574169,0.09065300457497302,0.0964513973372629,0.08042699748119463,0.0862733674885626,0.0788917256386971,0.09656791350388101,0.09499837220061343,0.08094789328489917,0.09763026678775209,0.09346995425026988,0.0929010812014873,0.09790442247391239,0.09496410273984342,0.0870889806548894,0.08159901303952982,0.08344956392111172,0.07995407892256819,0.08999503092818834,0.09501893387707544,0.10154383920769008,0.09329860694641973,0.08981682973218418,0.10316135775603574,0.08548516989085177,0.07951542982471174,0.08502595911653331,0.08074913041243298,0.09317523688764758,0.0900498620654204,0.08703414951765737,0.08523842977330752,0.09109165367282948,0.0902417710457326,0.08843919740922877,0.0992752009047138,0.09675982248419324,0.0980894775620706,0.09113963091790749,0.0905570500848169,0.09379894107366218,0.09820599372868867,0.08715751957642948,0.09909699970870957,0.08935761895786569,0.09370984047566011,0.08734257466458764,0.08852829800723085,0.08094789328489915,0.09529308956323573,0.08250372680385876,0.08258597350970683,0.08994705368311026,0.08746594472335978,0.0895426740460239,0.0775483627765117,0.093600178201196,0.08697246448827126,0.07924812803070545,0.09995373622796046,0.08310001542125733,0.10478573019653536,0.08395675194050824,0.09370984047566012,0.08503281300868733,0.10248282243278906,0.0900567159575744,0.08832268124261067,0.08597179623378629,0.08526584534192355,0.08198968489230823,0.09184558180977022,0.08511505971453542,0.09538904405339184,0.09429242130875069,0.08911773273247549,0.084717533969603,0.09604016380802248,0.08422405373451447,0.09555353746508799,0.09871318174808519,0.08196226932369219,0.09490927160261137,0.09799352307191446,0.08466270283237094,0.08967975188910404,0.09103682253559738,0.09716420212127963,0.0850191052243793,0.0865955004198009,0.08861054471307897
ses_0,0.09665701410188313,0.09464882370075908,0.09161940336868803,0.08721920460581553,0.09758228954267405,0.08378540463665804,0.0806737375987389,0.0890560477030894,0.08822672675245453,0.08858312914446291,0.09731498774866779,0.08812391837014445,0.09560836860232005,0.09052963451620091,0.08396360583266226,0.08222957111769845,0.08742482137043577,0.08595123455732423,0.08941245009509777,0.07984441664810403,0.08878874590908312,0.07718510649234932,0.09768509792498417,0.0806942992752009,0.08218159387262042,0.09107109199636743,0.09204434468223643,0.08187316872569012,0.08342214835249567,0.08244204177447267,0.08089306214766709,0.07667106458079881,0.10251023800140505,0.0970476859546615,0.09534792070046777,0.09597847877863647,0.08377169685235,0.08179092201984205,0.09200322132931243,0.0905227806240469,0.08113980226521135,0.08814448004660648,0.08103013999074724,0.08815133393876048,0.09378523328935418,0.09019379380065456,0.09815801648361064,0.08459416391083086,0.08074913041243297,0.09440893747536883,0.07923442024639742,0.08673257826288104,0.09812374702284057,0.08943986566371379,0.08663662377272496,0.07810352804098625,0.08904233991878141,0.09539589794554584,0.08349754116618976,0.09304501293672146,0.09808947756207059,0.09028974829081064,0.08674628604718905,0.0967666763763472,0.07815150528606435,0.0944569147204469,0.09096828361405734,0.07018042871095423,0.0923185003683967,0.086698308802111,0.08506708246945738,0.09037199499665871,0.08576617946916608,0.09243501653501485,0.09040626445742878,0.08840492794845874,0.09359332430904199,0.08057778310858282,0.08967289799695001,0.08909031716385943,0.0956494919552441,0.10179057932523436,0.08943986566371381,0.08451877109713682,0.0955055602200099,0.08826099621322457,0.09322321413272561,0.09494354106338139,0.09256524048594096,0.10837031579308101,0.08630763694933259,0.08483405013622108,0.09523825842600363,0.08558112438100786,0.09909699970870957,0.0943746680145988,0.10070081047274722,0.0773427460118915,0.08223642500985247,0.08791830160552423
ses_1,0.09489556381830333,0.09923407755178973,0.08166069806891588,0.08289439865663714,0.094566576994911,0.09043368002604478,0.08083823101043508,0.09388804167166431,0.08211305495108032,0.09323006802487965,0.07855588492315073,0.09266804886825109,0.09228423090762669,0.09368927879919811,0.07954284539332775,0.08242833399016469,0.08383338188173611,0.0840115830777403,0.08174294477476399,0.0681722383098302,0.10085844999228939,0.09615667997464061,0.09159884169222599,0.09238018539778277,0.08863110638954096,0.09503949555353744,0.07151008378883159,0.07736330768835353,0.08713010400781344,0.0849368585185312,0.08116036394167339,0.07620499991432639,0.08423090762666849,0.10446359726529705,0.08176350645122599,0.09124243930021762,0.0982402631894587,0.08211990884323435,0.07965250766779185,0.09263377940748106,0.0893918884186357,0.07643117835540855,0.08255170404893679,0.0869656105961173,0.09986463562995833,0.08373742739158004,0.09683521529788729,0.0878977399290622,0.07755521666866574,0.0924007470742448,0.0845119172049828,0.09109165367282945,0.0959647709943284,0.09438837579890681,0.08506708246945735,0.09532050513185178,0.0910025530748274,0.08979626805572218,0.09353849317180996,0.0803721663439626,0.09161254947653397,0.08861054471307893,0.09882969791470335,0.08338102499957166,0.08586213395932216,0.09045424170250681,0.10163293980569219,0.0793920597659396,0.08388821301896815,0.09243501653501483,0.09649252069018698,0.0962594883569507,0.09460770034783503,0.09881599013039528,0.0903651411045047,0.09079693631020712,0.08720549682150752,0.08336731721526364,0.08741111358612776,0.08900807045801136,0.07671218793372286,0.0797210465893319,0.07780881067836398,0.07354568975857163,0.08957008961463993,0.08857627525230889,0.07866554719761484,0.08744538304689774,0.09428556741659669,0.08103013999074725,0.09017323212419255,0.10050204760028102,0.10614280084302873,0.08684909442949917,0.08588269563578418,0.0850396669008413,0.10518325594146777,0.08946728123232982,0.08251743458816678,0.07585545141447196
