wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08809992974760542,0.0
indicator,1,0.08949126985486885,-0.0018734717267713014
indicator,2,0.08710268843919738,0.004651156644422344
indicator,3,0.0898579530851082,-0.015298067201154564
indicator,4,0.08818560339953052,-0.06117863023214155
indicator,5,0.08983053751649218,-0.07549281002585936
indicator,6,0.08792172855160124,-0.09709040238193825
indicator,7,0.08983396446256917,-1.0
ses,0,0.08799026747314131,0.0
ses,1,0.09026233272219461,-0.021203247745488887
ses,2,0.08680454413049812,-0.046185431889710124
ses,3,0.08882644231593015,-0.022114058873212182
ses,4,0.09050564589366189,-0.03619231585992386
ses,5,0.08943643871763679,-0.01971216022341112
ses,6,0.08839464711022772,-0.07553108019569583
ses,7,0.0905227806240469,-0.15262633630692246
neg_pow,0,0.09031373691334968,0.0
neg_pow,1,0.08993334589880228,-0.0068218717051855065
neg_pow,2,0.08753448364489985,-0.02313121680273724
neg_pow,3,0.08914172135501447,-0.009416364839857527
neg_pow,4,0.0878874590908312,-0.04774492734978256
neg_pow,5,0.08983739140864619,-0.0565458367115642
neg_pow,6,0.08925138362947857,-0.06876423542727825
neg_pow,7,0.08789773992906222,-0.10470957067151151
neg_exp,0,0.08971059440379706,0.0
neg_exp,1,0.08900807045801135,-0.01696857132563593
neg_exp,2,0.08776751597813609,-0.0034981209237616604
neg_exp,3,0.08999845787426536,-0.05917440604149099
neg_exp,4,0.08927537225201762,-0.050407268287922996
neg_exp,5,0.08744880999297476,-0.018433666380037957
neg_exp,6,0.08927537225201762,-0.04896890118213685
neg_exp,7,0.0897517177567211,-0.0416935555140332
