,sim_0,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70,sim_71,sim_72,sim_73,sim_74,sim_75,sim_76,sim_77,sim_78,sim_79,sim_80,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90,sim_91,sim_92,sim_93,sim_94,sim_95,sim_96,sim_97,sim_98,sim_99
indicator_0,0.08188687650999815,0.09083120577097721,0.09333287640718972,0.08488202738129916,0.09713678655266357,0.08884357704631517,0.08747965250766779,0.0929970356916434,0.08730145131166363,0.0740254622093521,0.08762358424290195,0.07793903462929012,0.08575932557701203,0.10149586196261201,0.0883569507033807,0.08249687291170475,0.09029660218296463,0.09289422730933329,0.09218827641747059,0.08941245009509778,0.07900824180531517,0.08839122016415073,0.07756207056081972,0.08745909083120582,0.09782902966021831,0.09792498415037439,0.0981991398365347,0.1021538356093967,0.09362759376981204,0.09283939617210124,0.1021538356093967,0.0943952296910608,0.08901492435016534,0.08411439146005037,0.0927091722211751,0.09224996144685664,0.08668460101780297,0.0986926200716232,0.08397731361697021,0.08734257466458768,0.08870649920323506,0.09185243570192425,0.0911944620551396,0.09377152550504618,0.09641027398433887,0.0924281626428608,0.0931889446719556,0.0830177687154093,0.09059131954558698,0.09277085725056117,0.0930038895837974,0.08369630403865597,0.10310652661880362,0.09633488117064476,0.08429944654820859,0.08819245729168454,0.08835695070338068,0.09759599732698207,0.08042014358904064,0.08133856513767758,0.10290776374633746,0.084731241753911,0.08519730642038349,0.09263377940748102,0.08994705368311026,0.08081766933397302,0.08944671955586779,0.08974829081064407,0.0924829937800929,0.09344253868165385,0.07688353523757305,0.08543719264577371,0.09750689672897998,0.08851459022292282,0.09796610750329843,0.08488888127345315,0.0805023902948887,0.08903548602662738,0.08695875670396329,0.0983567793560768,0.09042682613389078,0.09313411353472358,0.10327102003049983,0.07545792566953959,0.09360703209335003,0.07806925858021624,0.0900772776340364,0.08901492435016536,0.08557427048885385,0.08142766573567965,0.07385411490550195,0.08699302616473331,0.0953753362690838,0.09414163568136255,0.0831342848820274,0.09019379380065458,0.09621836500402665,0.0829697914703312,0.09553982968077995,0.09242816264286084
indicator_1,0.08509449803807338,0.09299703569164337,0.10329843559911585,0.09164681893730404,0.10381933140282038,0.08192114597076813,0.0923185003683967,0.0920991758194685,0.09316838299549356,0.09116704648652355,0.08120148729459742,0.08972772913418207,0.08491629684206922,0.09982351227703433,0.09598533267079042,0.09660903685680508,0.09227737701547267,0.0933054608385737,0.0814893507650657,0.0956357841709361,0.08840492794845875,0.07974160826579398,0.0892753722520176,0.09028289439865664,0.10339439008927194,0.09415534346567057,0.09079693631020716,0.08696561059611727,0.09350422371103992,0.07994037113826014,0.08029677353026851,0.09739723445451584,0.09262692551532703,0.09965901886533814,0.08009801065780228,0.09983722006134234,0.09265434108394306,0.09405253508336046,0.1000839601788866,0.09353163927965592,0.08467641061667894,0.09011154709480648,0.0782474597762204,0.09098884529051933,0.08314799266633542,0.08745223693905174,0.10161237812923019,0.08160586693168383,0.08605404293963435,0.08767156148798,0.08843234351707475,0.07456006579736468,0.09086547523174722,0.07675331128664689,0.07885060228577305,0.08401843696989429,0.09129041654529568,0.08737684412535769,0.09902846078716952,0.10100923561967752,0.1030859649423416,0.09789071468960438,0.08706156508627337,0.0938674799952023,0.09912441527732563,0.08515618306745942,0.08423776151882253,0.08509449803807338,0.08776751597813612,0.08503281300868733,0.0939017494559723,0.08204451602954027,0.10379876972635838,0.08998132314388035,0.083744281283734,0.0849574201949932,0.08055722143212078,0.08233923339216255,0.07535511728722946,0.09108479978067548,0.10462123678483919,0.0824351878823187,0.07941947533455558,0.09190726683915629,0.09084491355528519,0.09015952433988451,0.0739911927485821,0.08933020338924966,0.09597162488648239,0.10070081047274722,0.08771268484090407,0.09734240331728383,0.09562207638662806,0.08645156868456673,0.07996093281472216,0.08683538664519112,0.08408012199928032,0.07390209215057998,0.09523140453384965,0.08782920100752215
indicator_2,0.09306557461318347,0.09201692911362039,0.09043368002604482,0.0997207038947242,0.09408680454413051,0.09475163208306916,0.08702729562550333,0.08839122016415071,0.09285310395640922,0.08752762975274586,0.08074227652027896,0.08691763335103922,0.085690786655472,0.08612943575332842,0.08002947173626224,0.10124912184506775,0.0902691866143486,0.09552612189647196,0.07917958910916538,0.08768526927228797,0.09742465002313187,0.07227771971008036,0.08776066208598209,0.0892685183598636,0.08572505611624204,0.08216103219615842,0.09216771474100857,0.08374428128373401,0.08292866811740719,0.09262007162317305,0.08217473998046644,0.08743852915474375,0.09091345247682528,0.08334675553880161,0.09315467521118555,0.09889138294408936,0.09648566679803292,0.07457377358167268,0.10078991107074929,0.0867668477236511,0.0784050992957626,0.08908346327170541,0.08448450163636673,0.08594438066517023,0.07336748856256746,0.08802796387998833,0.08445708606775071,0.09207861414300644,0.0898579530851082,0.0986240811500831,0.09418275903428662,0.08397045972481623,0.0952725278867737,0.07250389815116258,0.08350439505834376,0.09574544644540017,0.09032401775158069,0.08938503452648176,0.08268192799986296,0.08130429567690754,0.10357944517743016,0.0832713627251075,0.09530679734754376,0.08371001182296398,0.0930792823974915,0.09418961292644061,0.0830314764997173,0.09303130515241342,0.09431983687736673,0.09459399256352702,0.1002895769435068,0.089652336320488,0.10297630266787751,0.09331916862288173,0.10880211099878345,0.08898750878154928,0.08141395795137162,0.09348366203457789,0.07878891725638697,0.09821970151299672,0.09816487037576464,0.09588937818063435,0.10557392779424621,0.07980329329518,0.10037182364935487,0.09307242850533747,0.08241462620585668,0.08726032795873959,0.09010469320265248,0.08313428488202738,0.08514932917530545,0.06586933054608386,0.08264080464693889,0.0787135244426929,0.07691095080618905,0.08362091122496187,0.08969345967341202,0.08852144411507683,0.09838419492469284,0.07861071606038278
indicator_3,0.09414163568136255,0.08750021418412982,0.08302462260756327,0.08715751957642949,0.08624595191994656,0.08808964890937442,0.08800054831137233,0.08360034954849989,0.08733572077243369,0.08046126694196468,0.09174277342746014,0.09063929679066499,0.08370315793080997,0.09026918661434863,0.08084508490258908,0.1005705865218211,0.09768509792498416,0.08940559620294376,0.09824711708161273,0.09153715666283994,0.0981306009149946,0.09277085725056117,0.08771953873305807,0.08863796028169499,0.08662291598841693,0.09010469320265246,0.08928222614417163,0.08012542622641836,0.07942632922670961,0.08660920820410892,0.0979523997189904,0.08610887407686642,0.09020750158496256,0.09667757577834513,0.08038587412827058,0.10638268706841894,0.09974126557118626,0.08996076146741833,0.09926149312040573,0.08665718544918698,0.09085862133959322,0.08917256386970752,0.08124261064752146,0.07905621905039324,0.09137266325114374,0.08887784650708519,0.08855571357584692,0.06951560117201558,0.0882747039975326,0.08394304415620023,0.07667106458079884,0.09489556381830332,0.08269563578417094,0.08649954592964482,0.08740425969397371,0.09362759376981206,0.08256541183324483,0.08959750518325593,0.08408012199928035,0.0953616284847758,0.09002930038895837,0.08085879268689705,0.08464214115590893,0.08741796747828175,0.08922739500693956,0.09036514110450473,0.09487500214184133,0.08625965970425455,0.08014598790288034,0.08180462980415006,0.07878891725638698,0.10021418412981274,0.08862425249738698,0.07558129572831172,0.09283254227994726,0.09453230753414095,0.09348366203457788,0.08458045612652283,0.09208546803516048,0.08672572437072704,0.0899470536831103,0.07247648258254656,0.08911087884032144,0.09109850756498344,0.0738129915525779,0.10148215417830399,0.08672572437072701,0.085718202224088,0.08539606929284968,0.08782920100752215,0.09415534346567056,0.09264063329963503,0.08628707527287062,0.0823460872843166,0.08597179623378626,0.09447747639690893,0.0853206764791556,0.09361388598550402,0.08980312194787612,0.09580713147478624
indicator_4,0.08746594472335978,0.08586213395932213,0.08418978427374445,0.09087232912390127,0.09915183084594167,0.08543033875361969,0.08421719984236047,0.09176333510392214,0.0907626668494371,0.08925481057555561,0.08800054831137233,0.09103682253559738,0.09041997224173681,0.0917976045646922,0.10898716608694167,0.09113963091790749,0.09146176384914581,0.07175682390637585,0.09192097462346432,0.0918524357019242,0.08386765134250615,0.08711639622350542,0.08645156868456677,0.0956769075238601,0.08774695430167408,0.08772639262521202,0.09166052672161203,0.08444337828344269,0.10771919603845036,0.0900772776340364,0.08548516989085178,0.10441562002021898,0.08760302256643994,0.0873974058018197,0.09950823323794998,0.08700673394904128,0.08909717105601342,0.10151642363907402,0.08927537225201762,0.09139322492760577,0.09044053391819877,0.089666044104796,0.09054334230050892,0.08993334589880232,0.08771268484090404,0.10149586196261201,0.09536848237692981,0.09204434468223648,0.08492315073422323,0.09462826202429701,0.09427871352444268,0.08744538304689776,0.08092733160843714,0.0956906153081681,0.08754133753705386,0.08296979147033123,0.09118075427083154,0.09985092784565039,0.08479292678329704,0.10211271225647264,0.08386765134250612,0.08638302976302667,0.08695875670396325,0.07995407892256816,0.09582769315124824,0.09728071828789772,0.09236647761347477,0.08078339987320302,0.08205822381384827,0.0854303387536197,0.08998132314388037,0.09750004283682599,0.09804835420914654,0.09831565600315278,0.08591011120440019,0.08590325731224618,0.0973218416408218,0.1021881050701667,0.09757543565052004,0.08900121656585733,0.07800757355083018,0.07946059868747965,0.10897345830263364,0.08351810284265176,0.09698600092527544,0.08674628604718905,0.08192799986292214,0.08505337468514934,0.07641061667894654,0.09918610030671164,0.08734942855674166,0.09237333150562876,0.08026250406949846,0.09045424170250681,0.08964548242833399,0.09737667277805384,0.08612258186117439,0.09007042374188244,0.09754802008190402,0.08351810284265178
indicator_5,0.08008430287349429,0.08377169685235004,0.08926166446770961,0.08967975188910404,0.07938520587378559,0.08527269923407757,0.08752077586059188,0.08967289799695004,0.08824728842891656,0.09495724884768936,0.08710954233135143,0.10494336971607753,0.0871780812528915,0.09562207638662804,0.09745891948390191,0.0892342488990936,0.08957008961463989,0.09442949915183088,0.09561522249447409,0.09766453624852214,0.08878189201692911,0.07701375918849915,0.08568393276331801,0.08948098901663781,0.09011840098696049,0.09726015661143572,0.0811603639416734,0.10276383201110334,0.08479292678329706,0.08261338907832286,0.08418978427374446,0.09604701770017647,0.09911756138517161,0.09645139733726292,0.09015952433988454,0.09883655180685731,0.09846644163054094,0.0920032213293124,0.09283939617210125,0.090611881222049,0.08173609088260998,0.07300423227840508,0.09462826202429703,0.08355237230342183,0.09679409194496327,0.09788386079745039,0.08602662737101831,0.08815133393876048,0.09216086084885451,0.0983293637874608,0.10219495896232074,0.0913246860060657,0.0949915183084594,0.08935076506571171,0.09811689313068658,0.09975497335549427,0.0892548105755556,0.08762358424290193,0.09044738781035278,0.08336046332310959,0.08680797107657515,0.09568376141601413,0.08077654598104901,0.09431298298521269,0.08740425969397374,0.08508079025376535,0.08943986566371379,0.09183872791761619,0.08570449443978002,0.09024177104573257,0.0831685543427974,0.08990593033018623,0.07948116036394169,0.10333955895203992,0.0929901817994894,0.08111924058874932,0.09769880570929217,0.08235294117647061,0.08388135912681413,0.07730162265896746,0.0917016500745361,0.08976199859495212,0.10122856016860574,0.08416236870512842,0.10318191943249772,0.0956837614160141,0.08941930398725179,0.07059166224019463,0.08551943935162179,0.09522455064169563,0.0862939291650246,0.08616370521409847,0.07846678432514866,0.09919295419886569,0.09633488117064475,0.0951560117201556,0.09119446205513958,0.09208546803516046,0.09080379020236116,0.09704768595466147
indicator_6,0.08019396514795839,0.08997446925172632,0.08717808125289149,0.09081749798666919,0.08558797827316189,0.10357259128527613,0.08648583814533681,0.09327804526995769,0.08131800346121554,0.10218810507016676,0.09181131234900018,0.0853343842634636,0.09652679015095696,0.09030345607511867,0.08833638902691866,0.08400472918558627,0.10677335892119738,0.07985127054025805,0.09043368002604478,0.08498483576360924,0.10174945597231029,0.08837065848768867,0.08374428128373401,0.08514932917530545,0.08691763335103922,0.08097530885351517,0.07649286338479466,0.08174294477476395,0.08270248967632496,0.09105053031990544,0.08754819142920785,0.08919997943832356,0.08363461900926991,0.08862425249738692,0.08747279861551378,0.0773427460118915,0.09037884888881273,0.08656123095903082,0.09456657699491096,0.10760267987183222,0.08686965610596116,0.09677353026850119,0.08999503092818834,0.08377855074450405,0.07358681311149569,0.08227754836277652,0.08262024297047683,0.08811706447799045,0.09544387519062388,0.09197580576069636,0.0829218142252532,0.08832953513476466,0.07968677712856187,0.08548516989085177,0.08343585613680371,0.10268158530525522,0.08543033875361972,0.09440893747536881,0.09676667637634721,0.08564280941039393,0.0934014153287298,0.10024159969842873,0.08717808125289148,0.08598550401809424,0.08828155788968664,0.08809650280152843,0.09406624286766847,0.09732184164082179,0.07566354243415978,0.08400472918558624,0.08089306214766709,0.0863830297630267,0.09401141173043644,0.08594438066517023,0.0877880776545981,0.08851459022292285,0.08028991963811453,0.09750004283682595,0.08113294837305735,0.0901046932026525,0.08732201298812567,0.08272990524494098,0.09823340929730473,0.07832970648206852,0.08298349925463924,0.09890509072839741,0.08893267764431727,0.08348383338188174,0.09380579496581622,0.0855057315673138,0.09023491715357859,0.0889806548893953,0.08506708246945734,0.08267507410770894,0.09695173146450543,0.09004300817326641,0.09519028118092561,0.09436781412244477,0.09895992186562946,0.09195524408423432
indicator_7,0.07309333287640722,0.08747279861551377,0.07636263943386848,0.0923185003683967,0.08740425969397371,0.09076952074159111,0.08238721063724061,0.09362759376981204,0.08416236870512843,0.08617055910625247,0.0858895495279382,0.1040043864909786,0.08755504532136188,0.08890526207570122,0.09392231113243436,0.08481348845975907,0.08734942855674169,0.09300388958379742,0.08960435907540995,0.08712325011565944,0.09942598653210191,0.08933020338924966,0.08916570997755349,0.08602662737101834,0.09057761176127892,0.08257911961755283,0.08660920820410892,0.08159901303952982,0.08874076866400508,0.08891896986000923,0.09892565240485938,0.08595123455732426,0.06637651856548037,0.09133839379037373,0.08954952793817789,0.07781566457051796,0.08728774352735563,0.08309316152910337,0.0833330477544936,0.08177036034337999,0.0903377255358887,0.07624612326725039,0.09580027758263222,0.08416922259728245,0.08554000102808379,0.08746594472335976,0.08111924058874931,0.08359349565634584,0.1002141841298127,0.08774695430167408,0.09275714946625314,0.09056390397697096,0.07999520227549223,0.09076266684943714,0.10216754339370468,0.09641712787649291,0.07925498192285946,0.10069395658059321,0.08286698308802112,0.09235276982916674,0.08673943215503505,0.08208563938246431,0.09571117698463015,0.08172923699045598,0.10029643083566081,0.1098301948218845,0.09106423810421344,0.0792138585699354,0.08401158307774029,0.08347012559757369,0.09235276982916676,0.08064632203012288,0.07179109336714586,0.09641712787649287,0.0836688884700399,0.09329175305426571,0.09183872791761623,0.08786347046829218,0.09067356625143504,0.09089974469251728,0.090659858467127,0.09251726324086293,0.10815099124415282,0.09146861774129984,0.07739072325696958,0.08219530165692844,0.10297630266787754,0.08255855794109082,0.07572522746354585,0.1035451757166601,0.08693134113534724,0.0796045304227138,0.0939702883775124,0.08793200938983227,0.09649252069018695,0.09946710988502597,0.09874745120885524,0.09510118058292352,0.0840321447542023,0.08612943575332842
ses_0,0.0952999434553897,0.09987834341426635,0.10057058652182108,0.0832850705094155,0.08488888127345315,0.0925241171330169,0.08403899864635629,0.08783605489967615,0.07888487174654309,0.08748650639982179,0.10120799849214372,0.08192799986292214,0.08078339987320302,0.08521786809684548,0.0949915183084594,0.08730830520381763,0.09030345607511864,0.0860197734788643,0.08237350285293261,0.09242816264286083,0.07844622264868666,0.08950840458525387,0.07582803584585596,0.08264765853909294,0.10322304278542176,0.08733572077243368,0.08823358064460855,0.09596477099432843,0.09050907283973884,0.09338770754442184,0.09172221175099805,0.08756189921351588,0.0826613663234009,0.07824060588406644,0.08820616507599252,0.09063244289851102,0.08622539024348454,0.094566576994911,0.09289422730933328,0.08841863573276677,0.08093418550059114,0.10675965113688936,0.08911773273247543,0.08249687291170471,0.09436781412244477,0.09186614348623229,0.09659532907249706,0.09065300457497302,0.08912458662462949,0.08193485375507618,0.08580730282209009,0.0902417710457326,0.09405938897551447,0.07482736759137093,0.09493668717122736,0.09038570278096675,0.0889600932129333,0.0990695841400936,0.07859700827607477,0.09523825842600368,0.08542348486146571,0.09752745840544198,0.08139339627490962,0.08770583094875002,0.08157159747091382,0.09042682613389078,0.09296276623087336,0.08371001182296395,0.09040626445742878,0.07947430647178766,0.09719847158204965,0.08815818783091446,0.09994688233580641,0.08281900584294305,0.08623224413563854,0.09562893027878207,0.08841863573276677,0.08803481777214234,0.09349736981888589,0.08391562858758418,0.08891211596785527,0.08783605489967615,0.08096160106920722,0.07856273881530478,0.09885025959116536,0.0889395315364713,0.08821301896814653,0.07848049210945665,0.09436096023029082,0.08569078665547196,0.0815784513630678,0.07944003701101765,0.08933705728140366,0.0831479926663354,0.09985092784565032,0.09780846798375628,0.08410753756789636,0.09087918301605528,0.08831582735045665,0.09039255667312074
ses_1,0.08408012199928037,0.09151659498637792,0.08823358064460853,0.09214715306454656,0.08704785730196532,0.0870821267627354,0.08179777591199605,0.08469697229314094,0.08954952793817789,0.08632819862579463,0.09753431229759599,0.08813077226229842,0.08692448724319322,0.09082435187882319,0.08198283100015424,0.08692448724319325,0.09146176384914581,0.08470382618529497,0.09014581655557652,0.09119446205513958,0.08290810644094519,0.08795942495844827,0.09271602611332913,0.09379894107366218,0.08941930398725177,0.08957008961463993,0.09869262007162319,0.09325748359349566,0.08685594832165315,0.09021435547711658,0.08805537944860434,0.08848032076215283,0.10111889789414165,0.0988296979147033,0.10133136855091587,0.08530011480269359,0.10118058292352766,0.09373725604427613,0.08499168965576327,0.09097513750621133,0.07427220232689638,0.09702712427819946,0.09364130155412007,0.08657493874333888,0.08992649200664829,0.08771953873305804,0.08160586693168383,0.09439522969106083,0.09542331351416185,0.08951525847740786,0.0872397662822776,0.08975514470279808,0.096554205719573,0.0853412381556176,0.08695875670396329,0.09982351227703434,0.09002930038895839,0.09011154709480648,0.09132468600606568,0.08504652079299532,0.08626651359640856,0.08989222254587825,0.08851459022292285,0.09302445126025943,0.09783588355237231,0.08358664176419185,0.09072839738866707,0.09002244649680437,0.08616370521409848,0.09775363684652423,0.07973475437363992,0.09039255667312074,0.08675999383149707,0.08162642860814584,0.09765082846421409,0.08891211596785524,0.09301074347595137,0.07957711485409777,0.1056081972550162,0.08979626805572212,0.08678055550795909,0.09148232552560787,0.09177704288823017,0.09922036976748172,0.0836620345778859,0.0825722657253988,0.10002912904165458,0.08283956751940506,0.08719864292935349,0.0912287315159096,0.09418275903428658,0.09314782131903154,0.08547146210654374,0.09447747639690893,0.09240760096639881,0.08841863573276677,0.08588954952793819,0.0862939291650246,0.08696561059611727,0.09115333870221554
