wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.09063929679066501,0.0
indicator,1,0.08844605130138275,-0.029390792639774593
indicator,2,0.08805880639468139,-0.033581043476327364
indicator,3,0.0893644728500197,-0.04207490920035303
indicator,4,0.08974486386456709,-0.04562624301845434
indicator,5,0.09000188482034235,-0.0709824919027616
indicator,6,0.08908003632562841,-0.0035655945606423416
indicator,7,0.0894432926097908,-1.0
ses,0,0.08922396806086255,0.0
ses,1,0.0892479566834016,0.00030751715353019365
ses,2,0.08952896626171587,-0.04879555215522757
ses,3,0.08803139082606533,-0.019636107880750868
ses,4,0.08899436267370334,-0.04479242778519663
ses,5,0.09110536145713749,-0.09707346381718995
ses,6,0.08828498483576361,-0.06052159572243351
ses,7,0.08964205548225698,-0.14652985325102352
neg_pow,0,0.08827813094360962,0.0
neg_pow,1,0.08978941416356813,-0.021412894812925423
neg_pow,2,0.0897380099724131,-0.00951614326251405
neg_pow,3,0.08983053751649216,-0.00639877415246613
neg_pow,4,0.08936789979609672,-0.017592792237413512
neg_pow,5,0.0881958842377615,-0.0760514336122258
neg_pow,6,0.08817189561522248,-0.06365978350064674
neg_pow,7,0.08792515549767826,-0.11467151594829084
neg_exp,0,0.08974486386456708,0.0
neg_exp,1,0.08919997943832354,-0.07099792178534914
neg_exp,2,0.08979626805572216,-0.0008358981447129648
neg_exp,3,0.08859683692877093,0.00011771996844858301
neg_exp,4,0.08860369082092492,-0.03549167813808593
neg_exp,5,0.08981340278610715,-0.054057909020926845
neg_exp,6,0.08967975188910401,-0.09795584426514416
neg_exp,7,0.08729459741950962,-0.03971408717447488
