wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08962834769794897,0.0
indicator,1,0.08925138362947858,-0.051716266368633204
indicator,2,0.08918627165401552,0.008877123550146472
indicator,3,0.08804852555645037,-0.04589063843391407
indicator,4,0.08896694710508732,-0.06019776870053723
indicator,5,0.08937132674217371,-0.037313267186603244
indicator,6,0.08902520518839638,-0.09429062149240817
indicator,7,0.08862082555130994,-1.0
ses,0,0.08881273453162215,0.0
ses,1,0.0885420057915389,-0.016183550989621327
ses,2,0.0891382944089375,-0.013922372634384825
ses,3,0.09078665547197615,-0.035826916224370904
ses,4,0.08830554651222564,-0.038553877434849435
ses,5,0.08890183512962421,-0.09150470832709434
ses,6,0.08888470039923924,-0.07830934937905203
ses,7,0.0892479566834016,-0.1729983453235519
neg_pow,0,0.08764414591936398,0.0
neg_pow,1,0.08961463991364098,0.014872261476480186
neg_pow,2,0.0898339644625692,0.016106982299335357
neg_pow,3,0.08913144051678347,-0.03597521937484843
neg_pow,4,0.08987851476157023,-0.03206252919976682
neg_pow,5,0.08931649560494168,-0.034229796584696964
neg_pow,6,0.09006356984972844,-0.020622243593030925
neg_pow,7,0.08981340278610715,-0.11986724715600186
neg_exp,0,0.08981682973218416,0.0
neg_exp,1,0.08893610459039428,-0.004239835032486152
neg_exp,2,0.08994705368311035,-0.03471657425098197
neg_exp,3,0.08946385428625281,-0.0516542394240857
neg_exp,4,0.08870649920323506,-0.036504441180484654
neg_exp,5,0.08900464351193435,-0.04126257528665444
neg_exp,6,0.08856942136015492,-0.06353074396697306
neg_exp,7,0.08889498123747025,-0.027962235401390777
