wt_mtd,nb_mtd,Gini,Gamma
indicator,0,0.08821987286030053,0.0
indicator,1,0.08835352375730368,-0.03540140571593019
indicator,2,0.08903548602662738,-0.019300728996052077
indicator,3,0.08879559980123714,-0.041577615610773305
indicator,4,0.08908689021778243,-0.0833716830258773
indicator,5,0.0903274446976577,-0.052043592162652266
indicator,6,0.09084834050136222,-0.037335598980881124
indicator,7,0.08902177824231938,-1.0
ses,0,0.08840835489453572,0.0
ses,1,0.0898408183547232,-0.016503327382037775
ses,2,0.08824043453676256,-0.019356204161753248
ses,3,0.0881993111838385,-0.053873110661109835
ses,4,0.08795942495844827,-0.0668392492539848
ses,5,0.08952553931563888,-0.024606120030586074
ses,6,0.08896352015901031,-0.07524241905754514
ses,7,0.08858998303661694,-0.15883510297901676
neg_pow,0,0.08863110638954097,0.0
neg_pow,1,0.08837408543376572,-0.0025865359610126007
neg_pow,2,0.08852144411507686,-0.017581684983989362
neg_pow,3,0.08840492794845872,-0.030498211269227728
neg_pow,4,0.08841178184061274,-0.018209145466295474
neg_pow,5,0.08868593752677302,-0.06667546706223215
neg_pow,6,0.08891554291393225,-0.03124534257086225
neg_pow,7,0.08992649200664828,-0.12173299491757222
neg_exp,0,0.08882301536985315,0.0
neg_exp,1,0.08760302256643993,0.03584312335992884
neg_exp,2,0.08932677644317269,0.012167968853688219
neg_exp,3,0.09008413152619046,-0.008764129482525591
neg_exp,4,0.09027946745257964,-0.053391239184479515
neg_exp,5,0.08851801716899987,-0.0157817101504774
neg_exp,6,0.08984424530080021,-0.011600627773472361
neg_exp,7,0.0890526207570124,-0.02572843447538633
