num_features_rm,r2,mse
0,0.496496269,0.006044356
0,0.497779561,0.005326817
0,0.361593899,0.006731668
0,0.337187179,0.006691185
0,0.467986969,0.005299108
0,0.410274517,0.006456884
0,0.411133737,0.006923771
0,0.242593969,0.007551421
0,0.349640193,0.006222561
0,0.440270375,0.006093679
0,0.262234939,0.005259048
0,0.160520736,0.007044603
0,0.533762234,0.005116152
0,0.25287374,0.006605633
0,0.365448053,0.006503803
0,0.048202138,0.006338507
0,0.414324863,0.006123744
0,0.439460463,0.006220839
0,0.151653739,0.005617179
0,0.331752525,0.006720393
0,0.46006468,0.005766962
0,0.394816058,0.006386112
0,0.369304795,0.005929717
0,0.399946155,0.004400078
0,0.235617347,0.007074246
0,0.446074459,0.005532978
0,0.439909603,0.005681826
0,0.299814182,0.006956142
0,0.36039295,0.006884241
0,0.000552728,0.007384238
0,0.411156562,0.005197838
0,0.423462976,0.007004453
0,0.341558575,0.006140302
0,0.295054812,0.005845417
0,0.391112008,0.006254185
0,0.481351602,0.00614565
0,0.361237225,0.006546269
0,0.50766702,0.004633264
0,0.434169538,0.007651681
0,0.386933453,0.005605206
0,0.432901439,0.006781758
0,0.346573922,0.0053186
0,0.349036529,0.006103924
0,0.343478731,0.008115358
0,0.346709953,0.007503438
0,0.197032311,0.004833401
0,0.219897613,0.005217255
0,0.363202628,0.005458465
0,0.241468092,0.006965203
0,0.470476819,0.005876104
1,0.460297496,0.00595793
1,0.349816862,0.00666665
1,0.386253904,0.006600065
1,0.18599836,0.006180279
1,0.525927981,0.004657273
1,0.413856203,0.006264888
1,0.271164336,0.007062025
1,0.28337966,0.008018185
1,0.281062017,0.005904647
1,0.4932387,0.005992407
1,0.305651178,0.008053399
1,0.31725975,0.005962685
1,0.334819656,0.008470739
1,0.327846154,0.006014072
1,0.035704024,0.00647745
1,0.394097687,0.005882313
1,0.049417741,0.007127266
1,0.361725983,0.0063259
1,0.098537684,0.006150626
1,0.503197007,0.006599323
1,0.364994124,0.006589796
1,0.304321415,0.005924604
1,0.317825077,0.005566153
1,0.297271208,0.00600497
1,0.305740402,0.006787094
1,0.292325545,0.005885812
1,0.364822993,0.006243765
1,0.529043315,0.004327717
1,-0.149696894,0.00892821
1,0.267750919,0.005406666
1,0.517009392,0.00484434
1,0.261572757,0.00522714
1,0.320974493,0.006245742
1,0.162481765,0.006198966
1,0.363037896,0.007165952
1,0.42510412,0.00543366
1,0.24167446,0.004827477
1,0.211921951,0.007075372
1,0.454276563,0.006313421
1,0.450733202,0.005072839
1,0.291020487,0.005678302
1,0.513967755,0.004348497
1,0.29389927,0.005133974
1,0.355253618,0.007358422
1,0.196953303,0.006449747
1,0.273536789,0.00768612
1,0.318609573,0.005937479
1,0.389781791,0.005746834
1,0.37066058,0.005432492
1,0.326875596,0.00757794
2,0.408288313,0.006321257
2,0.376258807,0.006441573
2,0.428254437,0.005736199
2,-0.349852561,0.00903611
2,0.364317602,0.005588271
2,0.418874696,0.005589979
2,0.429857937,0.005784492
2,0.145817384,0.005393108
2,0.307187334,0.005900391
2,0.449883655,0.005793668
2,0.485693193,0.004687215
2,0.375931308,0.006918721
2,0.367785433,0.008359416
2,0.352066575,0.006609394
2,0.22522633,0.006655574
2,0.431702223,0.007004209
2,0.37641114,0.006211241
2,0.233477777,0.005893873
2,0.317906539,0.00685889
2,0.433727107,0.006829405
2,0.133214073,0.007031211
2,0.383616225,0.006523411
2,0.379218544,0.006338261
2,0.446705078,0.007214182
2,0.005843653,0.005966324
2,0.414885292,0.006435157
2,0.23788653,0.00695677
2,0.455209565,0.007164049
2,0.333473781,0.00665078
2,0.25602834,0.006223633
2,0.203553297,0.007699819
2,0.020236684,0.006568069
2,0.022582729,0.007804258
2,0.397227788,0.00608556
2,0.460534378,0.006503642
2,0.212505182,0.005458513
2,0.221928262,0.006536829
2,0.439527147,0.006311616
2,0.300621686,0.007086196
2,0.370931116,0.005179142
2,0.396170727,0.004721501
2,0.276761976,0.006741751
2,0.166423875,0.007501518
2,0.044991536,0.006040764
2,0.38810996,0.006867114
2,0.332070536,0.005735974
2,0.414553776,0.005748311
2,0.513643667,0.006829275
2,0.410652479,0.00638983
2,0.479239837,0.005565234
3,0.498656877,0.004940648
3,0.291518169,0.006325559
3,0.467596768,0.005732336
3,0.123438016,0.007041252
3,0.240667424,0.006410541
3,0.17318696,0.006662
3,0.401072822,0.005647915
3,0.319127234,0.005995135
3,0.406204332,0.007242923
3,0.409861266,0.005065122
3,0.428741976,0.00602387
3,0.013582704,0.006017829
3,0.479088673,0.004337058
3,0.460037649,0.006697735
3,0.271651024,0.006259377
3,0.246113469,0.007315972
3,0.219279272,0.007319325
3,0.339082347,0.006742492
3,0.441303886,0.004395762
3,0.462015555,0.005796175
3,0.495950216,0.006364041
3,0.336314619,0.006238092
3,0.413836476,0.005398369
3,0.364212898,0.006706963
3,0.442169503,0.006345392
3,0.460459522,0.005634617
3,0.241683795,0.007004694
3,0.371320867,0.008034733
3,0.506496888,0.005506688
3,0.064572496,0.00589755
3,0.380600183,0.006943651
3,0.384143996,0.007161908
3,0.389713583,0.004377799
3,0.463914589,0.005923719
3,0.398932252,0.007017857
3,-0.105419419,0.008301383
3,0.357567936,0.006655071
3,0.521352964,0.005782201
3,0.319599858,0.006772521
3,0.305218762,0.007275701
3,0.445825315,0.006677832
3,0.33838957,0.007039301
3,0.374428792,0.008333677
3,0.310899865,0.004788698
3,0.412799682,0.006460358
3,0.381066681,0.006423228
3,0.328551801,0.005730426
3,0.20105296,0.006070701
3,0.10635413,0.007139339
3,0.387806145,0.005112316
4,0.33139171,0.006983719
4,0.312791507,0.006075683
4,0.316434893,0.006680052
4,0.318595817,0.006575435
4,0.344231267,0.005921309
4,0.382097545,0.006061545
4,0.355831616,0.005463906
4,0.090202605,0.006315688
4,0.393903836,0.007023766
4,0.337984667,0.006345957
4,0.207810926,0.006849631
4,0.389896869,0.004621622
4,0.506778467,0.006630726
4,0.366355827,0.006009697
4,0.3876116,0.006905592
4,0.323782244,0.006360784
4,0.334889138,0.006609446
4,0.339341101,0.004432611
4,0.336876204,0.005211388
4,0.477336792,0.005008753
4,0.426781792,0.007474031
4,0.360026409,0.005641873
4,0.351447285,0.005931068
4,0.291741376,0.004700952
4,0.489707079,0.007673465
4,0.403622701,0.006744204
4,0.372029732,0.006843025
4,0.408545141,0.006438996
4,0.256397186,0.008049792
4,0.22209002,0.006465591
4,0.340425128,0.006518877
4,0.460961134,0.005235697
4,0.186188542,0.006483735
4,0.267926432,0.005662421
4,0.462651223,0.00571749
4,0.12596437,0.006919052
4,0.442860949,0.006500015
4,0.390684448,0.004439087
4,0.237190066,0.005596425
4,0.380648522,0.007457187
4,0.301586671,0.006298464
4,0.333739334,0.005576266
4,0.407997435,0.00487123
4,0.342540773,0.006080187
4,0.307475805,0.005923539
4,0.280294514,0.005144335
4,0.446456037,0.005130162
4,0.424778103,0.00696426
4,0.300945525,0.006897031
4,0.382882671,0.006395318
5,0.341766022,0.006559573
5,0.368117697,0.006331809
5,0.245659847,0.005207492
5,0.222408311,0.007922269
5,0.370120715,0.006896518
5,0.37345478,0.005431629
5,0.078932578,0.005858228
5,0.393491786,0.005566527
5,0.361850334,0.0047079
5,0.397363666,0.005976675
5,0.37623727,0.006243715
5,0.19320514,0.006779295
5,0.279313115,0.006641257
5,0.425444482,0.007349691
5,0.313007391,0.007148818
5,0.456334512,0.006245337
5,0.429898918,0.004528429
5,0.339331014,0.00644296
5,0.352425564,0.006047232
5,0.306525188,0.006438849
5,0.218475741,0.006777234
5,0.339859505,0.007926622
5,0.376853506,0.006980862
5,0.370627122,0.007984485
5,0.448590148,0.007666737
5,0.129147571,0.006569222
5,0.192749205,0.0049995
5,0.388835416,0.005163361
5,0.387388426,0.006935353
5,0.063540025,0.007109036
5,0.310495141,0.008418103
5,0.257031952,0.006160481
5,0.206842695,0.008212863
5,0.467983601,0.006751835
5,0.311517942,0.00631643
5,0.327595454,0.007264124
5,0.340279455,0.005745149
5,0.387413114,0.004474395
5,0.288530675,0.007041741
5,0.48876266,0.004677698
5,0.270836822,0.007036913
5,0.452129933,0.007640997
5,0.190979416,0.011037034
5,0.367583619,0.005723094
5,0.365593183,0.006413757
5,0.49259249,0.00559707
5,0.284669531,0.008461858
5,0.036658603,0.005148494
5,0.41930565,0.005142957
5,0.287982261,0.007779189
6,0.504250152,0.005279738
6,0.321849229,0.005840286
6,0.25961862,0.007379895
6,0.575631207,0.004914505
6,0.139876656,0.007750486
6,0.312699397,0.005916451
6,0.298561689,0.005813924
6,0.454624457,0.005430309
6,0.309001695,0.008211885
6,0.387646909,0.005979015
6,0.514215463,0.004695086
6,0.438006149,0.004903898
6,0.190234157,0.006794529
6,0.379219136,0.005663937
6,0.512245814,0.005384843
6,0.352727922,0.006248512
6,0.254120721,0.007038733
6,0.353409436,0.006594253
6,0.482817936,0.00603201
6,0.419521398,0.006644693
6,0.501111253,0.004655005
6,0.260273613,0.007352171
6,0.410483449,0.006561598
6,0.411008468,0.004457944
6,0.473174577,0.004915956
6,0.414101173,0.00625683
6,0.384877919,0.007510112
6,0.448447058,0.00531279
6,0.480372288,0.006951997
6,0.449722039,0.004752857
6,0.29079022,0.005590804
6,0.368090815,0.007017254
6,0.466888569,0.007280674
6,0.484055811,0.007065897
6,0.401511209,0.006180663
6,0.422236248,0.006066213
6,0.362001716,0.007291325
6,0.448905056,0.006724853
6,0.297255862,0.005580532
6,0.190647097,0.007431262
6,0.487615095,0.005554146
6,0.432380529,0.006839732
6,0.372134577,0.006913617
6,0.210954754,0.006162875
6,0.444104834,0.005070404
6,0.412126264,0.00549079
6,0.486964657,0.007632321
6,0.391883222,0.00621583
6,0.196890004,0.005831693
6,0.1852061,0.007325794
7,0.422802385,0.005965033
7,0.374610816,0.005884598
7,0.300673165,0.006476333
7,0.435721449,0.006926966
7,0.396481164,0.00488418
7,0.348506322,0.006452099
7,0.513390955,0.004540524
7,0.433982338,0.005721565
7,0.268197129,0.006474272
7,0.462959457,0.006703914
7,0.419075663,0.005867765
7,0.326826651,0.006890039
7,0.396316151,0.006764307
7,0.243417963,0.008020997
7,0.339279263,0.005421626
7,0.180187326,0.006492932
7,0.253832226,0.006650368
7,0.441721429,0.00691688
7,0.435245691,0.007336654
7,0.297514427,0.005738151
7,0.391274103,0.005510114
7,0.382115341,0.005246052
7,0.507473577,0.004320907
7,0.396909568,0.00577858
7,0.523988997,0.004054718
7,0.354051713,0.005842359
7,0.376608292,0.006530519
7,0.427082795,0.005391433
7,0.13976273,0.007965876
7,0.319438379,0.005810402
7,0.330718418,0.006227776
7,0.400163903,0.005799167
7,0.441983432,0.006138483
7,0.415472275,0.005717518
7,0.38910517,0.006468753
7,0.489288124,0.006058651
7,0.313227294,0.00710506
7,0.418944571,0.004101884
7,0.297236648,0.006211028
7,0.389319459,0.003801496
7,0.295177399,0.006405662
7,0.452604054,0.005185242
7,0.227966895,0.004878966
7,0.564773858,0.00481708
7,0.392336634,0.005260783
7,0.130351602,0.006056809
7,0.200648121,0.006044917
7,0.247363247,0.006646055
7,0.224963459,0.007624879
7,0.384629982,0.006696681
8,0.053810077,0.007737919
8,0.089476377,0.007622084
8,0.320541884,0.006753515
8,0.160944734,0.007181093
8,0.453129673,0.00458747
8,0.278366278,0.007205102
8,0.408758654,0.005036929
8,0.154236757,0.007509248
8,0.304194848,0.005845314
8,0.255345211,0.006732528
8,0.381063214,0.006487653
8,0.159962114,0.006233308
8,0.430714376,0.005333778
8,0.392847863,0.005650898
8,0.465809358,0.004083033
8,0.261197367,0.005503837
8,0.39764198,0.007099728
8,0.330950886,0.007417857
