EntryStationName,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_48,slot_49,slot_50,slot_51,slot_52,slot_53,slot_54,slot_55,slot_56,slot_57,slot_58,slot_59,slot_60,slot_61,slot_62,slot_63,slot_64,slot_65,slot_66,slot_67,slot_68,slot_69,slot_70,slot_71,slot_72,slot_73,slot_74,slot_75,slot_76,slot_77,slot_78,slot_79,slot_80,slot_81,slot_82,slot_83,slot_84,slot_85,slot_86
East Finchley,0.0,0.0,0.03968253968253968,0.0,0.047619047619047616,0.03968253968253968,1.3015873015873016,2.2777777777777777,2.619047619047619,5.714285714285714,15.547619047619047,36.79365079365079,48.46825396825397,71.35714285714286,98.91269841269842,135.93650793650792,100.23015873015873,78.78571428571429,74.5079365079365,57.77777777777778,33.84126984126984,19.99206349206349,12.658730158730158,15.253968253968255,9.380952380952381,7.428571428571429,8.182539682539682,9.904761904761905,8.333333333333334,7.134920634920635,6.698412698412699,9.023809523809524,7.753968253968254,5.674603174603175,6.666666666666667,6.484126984126984,5.309523809523809,4.388888888888889,3.9126984126984126,4.428571428571429,3.5793650793650795,2.7222222222222223,4.436507936507937,5.253968253968254,8.253968253968255,6.666666666666667,7.0,5.214285714285714,4.634920634920635,3.9523809523809526,7.007936507936508,9.61111111111111,11.071428571428571,10.333333333333334,9.976190476190476,12.047619047619047,10.373015873015873,5.349206349206349,4.166666666666667,3.0634920634920637,2.111111111111111,1.7857142857142858,0.9841269841269841,0.8412698412698413,0.7301587301587301,0.6825396825396826,0.38095238095238093,0.7222222222222222,0.5793650793650794,0.3492063492063492,0.4365079365079365,0.30158730158730157,0.15079365079365079,0.38095238095238093,0.8888888888888888,0.29365079365079366,0.1746031746031746,0.25396825396825395,0.11904761904761904,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0
East Ham,0.0,1.4523809523809523,3.761904761904762,9.317460317460318,21.341269841269842,55.77777777777778,106.19047619047619,160.15873015873015,171.13492063492063,166.15873015873015,146.484126984127,84.93650793650794,57.92063492063492,59.46031746031746,85.68253968253968,95.76984126984127,77.57936507936508,59.8968253968254,63.38095238095238,46.63492063492063,37.86507936507937,25.785714285714285,24.182539682539684,25.38095238095238,20.515873015873016,19.61904761904762,20.904761904761905,19.96825396825397,19.857142857142858,17.428571428571427,20.11904761904762,20.817460317460316,22.547619047619047,20.11111111111111,22.88095238095238,22.484126984126984,20.626984126984127,22.96825396825397,23.77777777777778,24.873015873015873,24.650793650793652,23.58730158730159,23.5,26.88095238095238,28.682539682539684,29.206349206349206,30.3015873015873,28.126984126984127,27.476190476190474,25.76984126984127,34.42063492063492,33.26190476190476,32.0,28.88888888888889,28.658730158730158,25.404761904761905,15.801587301587302,14.134920634920634,13.34920634920635,9.285714285714286,5.920634920634921,5.611111111111111,4.785714285714286,4.7936507936507935,3.5873015873015874,1.9841269841269842,2.261904761904762,1.5555555555555556,1.1428571428571428,1.3412698412698412,1.3492063492063493,0.9444444444444444,0.30158730158730157,0.2698412698412698,0.5317460317460317,0.0,0.1111111111111111,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Putney,0.0,0.0,0.0,0.0,0.09523809523809523,0.14285714285714285,0.3968253968253968,1.9206349206349207,4.333333333333333,13.38888888888889,42.74603174603175,65.72222222222223,89.88888888888889,123.95238095238095,155.52380952380952,150.11904761904762,97.58730158730158,61.595238095238095,41.0,27.547619047619047,14.865079365079366,10.023809523809524,8.579365079365079,7.912698412698413,7.150793650793651,5.0,6.444444444444445,6.428571428571429,6.809523809523809,5.880952380952381,6.523809523809524,7.198412698412699,6.111111111111111,4.841269841269841,6.015873015873016,6.142857142857143,5.301587301587301,4.555555555555555,5.150793650793651,4.801587301587301,4.119047619047619,3.111111111111111,4.373015873015873,6.365079365079365,6.992063492063492,6.166666666666667,10.476190476190476,8.738095238095237,14.73015873015873,12.714285714285714,16.58730158730159,16.23015873015873,20.547619047619047,18.484126984126984,19.23015873015873,19.563492063492063,15.396825396825397,10.904761904761905,9.357142857142858,6.26984126984127,4.134920634920635,2.5238095238095237,1.7619047619047619,1.2380952380952381,1.007936507936508,0.4365079365079365,0.36507936507936506,0.6984126984126984,0.4365079365079365,0.30952380952380953,1.3571428571428572,0.7380952380952381,0.1984126984126984,0.3968253968253968,0.7142857142857143,0.38095238095238093,0.24603174603174602,0.42857142857142855,0.07936507936507936,0.18253968253968253,0.03968253968253968,0.0,0.0,0.0,0.0,0.0
Eastcote,0.0,0.0,0.0,0.0873015873015873,0.0,0.2777777777777778,0.24603174603174602,1.0634920634920635,1.0158730158730158,3.4761904761904763,5.4603174603174605,20.91269841269841,18.142857142857142,25.547619047619047,22.08730158730159,23.928571428571427,20.706349206349206,12.166666666666666,8.579365079365079,7.674603174603175,8.38888888888889,5.412698412698413,4.515873015873016,5.246031746031746,5.920634920634921,5.119047619047619,4.944444444444445,4.984126984126984,4.968253968253968,3.8253968253968256,4.9523809523809526,3.880952380952381,3.5952380952380953,3.015873015873016,3.642857142857143,3.5873015873015874,3.4206349206349205,3.365079365079365,3.0,3.0714285714285716,3.3412698412698414,2.626984126984127,6.690476190476191,3.9603174603174605,2.9126984126984126,2.1825396825396823,1.9682539682539681,1.1746031746031746,3.2857142857142856,1.5555555555555556,2.5396825396825395,2.634920634920635,3.4126984126984126,1.992063492063492,2.6587301587301586,1.5,1.1666666666666667,0.8888888888888888,0.4365079365079365,0.35714285714285715,0.1746031746031746,0.15873015873015872,0.12698412698412698,0.18253968253968253,0.12698412698412698,0.0873015873015873,0.0,0.0,0.0873015873015873,0.10317460317460317,0.20634920634920634,0.07936507936507936,0.0,0.0,0.0873015873015873,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgware,0.0,0.0,0.0,0.23809523809523808,0.03968253968253968,1.007936507936508,3.0952380952380953,13.357142857142858,14.841269841269842,21.22222222222222,30.00793650793651,33.08730158730159,36.04761904761905,47.01587301587302,77.42857142857143,72.83333333333333,51.96825396825397,32.74603174603175,25.817460317460316,17.341269841269842,16.46825396825397,7.587301587301587,10.023809523809524,10.777777777777779,11.11111111111111,9.03968253968254,12.976190476190476,11.404761904761905,13.142857142857142,10.182539682539682,12.222222222222221,11.253968253968255,11.992063492063492,11.785714285714286,11.833333333333334,11.674603174603174,11.69047619047619,10.579365079365079,11.817460317460318,11.706349206349206,14.34920634920635,12.5,13.015873015873016,13.857142857142858,13.38888888888889,14.285714285714286,18.523809523809526,17.76984126984127,14.253968253968255,12.412698412698413,17.015873015873016,15.380952380952381,15.714285714285714,14.317460317460318,17.49206349206349,14.166666666666666,12.285714285714286,10.476190476190476,9.968253968253968,6.436507936507937,4.817460317460317,2.880952380952381,2.7063492063492065,1.8888888888888888,1.2698412698412698,1.2380952380952381,0.7698412698412699,0.5555555555555556,0.5158730158730159,0.3968253968253968,0.7380952380952381,0.1984126984126984,0.5476190476190477,0.47619047619047616,0.4444444444444444,0.0,0.24603174603174602,0.03968253968253968,0.23015873015873015,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0
Edgware Road,0.0,0.0,0.0,0.0,0.0,0.0,0.1349206349206349,0.0,0.2222222222222222,0.373015873015873,0.6825396825396826,3.1507936507936507,6.841269841269841,10.468253968253968,16.03174603174603,21.738095238095237,27.714285714285715,17.22222222222222,14.674603174603174,10.253968253968255,9.619047619047619,5.642857142857143,6.023809523809524,7.301587301587301,8.468253968253968,6.5396825396825395,6.904761904761905,9.055555555555555,7.404761904761905,7.738095238095238,8.341269841269842,8.952380952380953,7.722222222222222,6.825396825396825,6.507936507936508,7.833333333333333,7.761904761904762,4.968253968253968,7.619047619047619,8.626984126984127,7.285714285714286,8.142857142857142,9.682539682539682,11.642857142857142,11.96031746031746,12.817460317460318,24.666666666666668,18.99206349206349,26.317460317460316,29.746031746031747,57.05555555555556,48.42857142857143,60.714285714285715,51.48412698412698,57.27777777777778,40.15873015873016,29.515873015873016,21.22222222222222,16.96031746031746,10.65079365079365,7.682539682539683,5.928571428571429,4.579365079365079,4.134920634920635,3.261904761904762,2.134920634920635,2.2936507936507935,2.888888888888889,2.8015873015873014,2.142857142857143,1.8174603174603174,1.6587301587301588,1.6349206349206349,1.5714285714285714,1.6746031746031746,1.8888888888888888,1.0238095238095237,0.5476190476190477,0.7777777777777778,0.2619047619047619,0.07936507936507936,0.0,0.0,0.0,0.0,0.0
Elephant & Castle LU,0.0,0.0,0.0,0.47619047619047616,1.5873015873015872,2.2777777777777777,2.4126984126984126,11.666666666666666,16.849206349206348,31.5,35.20634920634921,57.96031746031746,66.6984126984127,71.5952380952381,93.5952380952381,150.96825396825398,176.33333333333334,133.76984126984127,110.07142857142857,100.72222222222223,80.38888888888889,45.95238095238095,35.20634920634921,32.13492063492063,30.30952380952381,23.246031746031747,21.785714285714285,25.452380952380953,27.055555555555557,24.357142857142858,24.349206349206348,25.69047619047619,28.523809523809526,24.666666666666668,28.26984126984127,30.5,30.825396825396826,23.73015873015873,25.357142857142858,29.793650793650794,30.72222222222222,25.0,26.11904761904762,30.936507936507937,30.857142857142858,31.476190476190474,39.36507936507937,44.04761904761905,49.5,47.77777777777778,71.44444444444444,73.38095238095238,81.46825396825396,82.03968253968254,74.88888888888889,71.83333333333333,66.38888888888889,55.34920634920635,42.12698412698413,33.76984126984127,26.206349206349206,16.76984126984127,15.238095238095237,14.793650793650794,10.380952380952381,8.158730158730158,7.555555555555555,7.809523809523809,6.5476190476190474,6.388888888888889,8.857142857142858,9.23015873015873,7.761904761904762,9.73015873015873,9.396825396825397,7.761904761904762,6.150793650793651,10.412698412698413,7.603174603174603,2.0873015873015874,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
Elm Park,0.0,0.03968253968253968,0.0,0.03968253968253968,1.2698412698412698,7.531746031746032,10.174603174603174,8.76984126984127,8.865079365079366,10.412698412698413,17.23015873015873,10.873015873015873,17.904761904761905,23.3015873015873,28.428571428571427,16.325396825396826,7.007936507936508,2.9444444444444446,3.0396825396825395,2.246031746031746,2.7222222222222223,1.7936507936507937,2.1746031746031744,1.0555555555555556,1.9761904761904763,1.6587301587301588,1.8174603174603174,1.4603174603174602,1.2063492063492063,1.4682539682539681,1.1984126984126984,1.2142857142857142,0.7698412698412699,0.9285714285714286,1.0317460317460319,0.9206349206349206,0.4444444444444444,0.7380952380952381,0.8333333333333334,0.746031746031746,0.8412698412698413,0.6587301587301587,0.5079365079365079,0.6349206349206349,0.8968253968253969,0.7142857142857143,0.9365079365079365,1.007936507936508,0.626984126984127,0.6984126984126984,0.8571428571428571,1.2222222222222223,1.3492063492063493,1.1349206349206349,1.8174603174603174,1.2380952380952381,0.6746031746031746,0.3253968253968254,0.15873015873015872,0.2222222222222222,0.16666666666666666,0.0873015873015873,0.09523809523809523,0.0,0.0873015873015873,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Embankment,0.0,0.0,0.0,0.0,0.0,0.03968253968253968,0.0,0.20634920634920634,0.07936507936507936,0.6587301587301587,1.007936507936508,2.992063492063492,3.119047619047619,4.920634920634921,5.753968253968254,6.690476190476191,7.428571428571429,7.325396825396825,7.142857142857143,6.246031746031746,7.412698412698413,5.428571428571429,9.65079365079365,11.341269841269842,11.642857142857142,9.412698412698413,13.182539682539682,11.317460317460318,14.103174603174603,15.11111111111111,18.563492063492063,18.261904761904763,20.19047619047619,20.476190476190474,21.99206349206349,20.928571428571427,25.1984126984127,25.023809523809526,28.8015873015873,26.38888888888889,30.896825396825395,30.484126984126984,36.26984126984127,36.214285714285715,38.73015873015873,40.92857142857143,58.20634920634921,53.38095238095238,66.11904761904762,59.507936507936506,104.94444444444444,103.92063492063492,138.52380952380952,127.42063492063492,125.11111111111111,110.84920634920636,81.8015873015873,64.42063492063492,55.34920634920635,38.34920634920635,28.238095238095237,23.944444444444443,23.095238095238095,20.53968253968254,19.873015873015873,21.77777777777778,21.150793650793652,23.738095238095237,27.77777777777778,34.57936507936508,54.65079365079365,94.38095238095238,62.15873015873016,36.06349206349206,33.023809523809526,24.07936507936508,16.69047619047619,9.658730158730158,12.571428571428571,8.547619047619047,1.7063492063492063,0.1349206349206349,0.373015873015873,0.0873015873015873,0.4603174603174603,0.15873015873015872
Epping,0.0,0.1111111111111111,0.1349206349206349,0.5396825396825397,1.746031746031746,11.253968253968255,22.23015873015873,36.08730158730159,26.952380952380953,42.74603174603175,41.595238095238095,45.19047619047619,51.3968253968254,67.96031746031746,50.833333333333336,29.634920634920636,17.03174603174603,8.428571428571429,4.238095238095238,2.7857142857142856,6.484126984126984,4.150793650793651,4.063492063492063,4.722222222222222,4.142857142857143,5.103174603174603,9.357142857142858,4.087301587301587,4.325396825396825,3.7222222222222223,3.8968253968253967,2.8015873015873014,3.2222222222222223,2.7301587301587302,2.8412698412698414,2.5317460317460316,2.373015873015873,1.3571428571428572,1.8174603174603174,2.0555555555555554,1.2142857142857142,1.6031746031746033,2.1031746031746033,2.2857142857142856,1.9682539682539681,2.753968253968254,2.5793650793650795,3.0634920634920637,3.5,3.2222222222222223,4.071428571428571,4.325396825396825,3.9126984126984126,3.753968253968254,3.7857142857142856,3.746031746031746,2.4126984126984126,1.3492063492063493,1.1666666666666667,0.6746031746031746,0.4365079365079365,0.2777777777777778,0.09523809523809523,0.31746031746031744,0.0,0.06349206349206349,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.09523809523809523,0.0,0.1984126984126984,0.03968253968253968,0.0,0.0,0.0,0.05555555555555555,0.0873015873015873,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0
