StationName,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_48,slot_49,slot_50,slot_51,slot_52,slot_53,slot_54,slot_55,slot_56,slot_57,slot_58,slot_59,slot_60,slot_61,slot_62,slot_63,slot_64,slot_65,slot_66,slot_67,slot_68,slot_69,slot_70,slot_71,slot_72,slot_73,slot_74,slot_75,slot_76,slot_77,slot_78,slot_79,slot_80,slot_81,slot_82,slot_83,slot_84,slot_85,slot_86
Northfields,0.0,0.047619047619047616,0.23809523809523808,0.0,0.07936507936507936,0.09523809523809523,0.6666666666666666,0.35714285714285715,2.5,10.341269841269842,13.722222222222221,17.746031746031747,20.817460317460316,45.8015873015873,45.98412698412699,44.69047619047619,24.158730158730158,16.912698412698415,14.126984126984128,8.69047619047619,7.365079365079365,4.333333333333334,3.944444444444444,4.555555555555555,3.2063492063492065,2.4365079365079367,2.682539682539683,2.5634920634920633,2.2222222222222223,2.3095238095238093,3.4047619047619047,3.579365079365079,3.4444444444444446,3.0396825396825395,4.119047619047619,2.5238095238095237,3.412698412698413,2.238095238095238,2.6031746031746033,3.7222222222222223,5.182539682539683,4.857142857142857,7.8730158730158735,12.007936507936508,13.436507936507937,7.468253968253968,7.579365079365079,9.222222222222221,12.563492063492063,12.34920634920635,12.039682539682541,12.365079365079364,19.92857142857143,22.174603174603174,18.174603174603174,18.57936507936508,14.865079365079364,16.134920634920633,15.19047619047619,8.880952380952381,9.698412698412698,7.9603174603174605,4.246031746031746,3.2857142857142856,3.642857142857143,2.674603174603175,2.619047619047619,2.492063492063492,3.0952380952380953,2.206349206349206,3.1507936507936507,4.19047619047619,5.2936507936507935,5.412698412698413,6.5476190476190474,4.76984126984127,3.1904761904761907,2.8968253968253967,4.301587301587301,2.4444444444444446,1.3174603174603174,2.1825396825396823,0.9920634920634921,0.29365079365079366,0.07936507936507936,0.1111111111111111
Northolt,0.0,0.0,0.0,16.317460317460316,3.8095238095238093,12.634920634920634,33.404761904761905,41.079365079365076,54.53174603174603,62.24603174603175,66.3015873015873,58.77777777777778,53.53968253968254,68.51587301587301,75.63492063492063,60.46825396825397,42.166666666666664,30.134920634920636,33.07142857142857,28.76190476190476,20.444444444444443,11.0,12.523809523809524,15.182539682539682,10.706349206349206,10.738095238095237,11.428571428571429,11.626984126984127,10.142857142857142,8.984126984126984,8.603174603174603,11.412698412698413,11.182539682539682,11.142857142857142,13.15079365079365,15.793650793650793,12.571428571428571,13.682539682539684,12.912698412698413,22.6031746031746,20.23015873015873,20.1031746031746,20.365079365079367,27.76190476190476,25.603174603174605,33.23809523809524,34.079365079365076,39.08730158730158,37.58730158730159,44.87301587301587,45.61904761904762,57.476190476190474,70.1984126984127,68.76984126984127,64.08730158730158,65.38095238095238,54.079365079365076,48.80952380952381,44.492063492063494,30.595238095238095,29.80952380952381,26.539682539682538,21.595238095238095,14.658730158730158,14.34920634920635,15.134920634920634,11.523809523809524,9.96031746031746,11.11111111111111,8.571428571428571,9.063492063492063,8.357142857142856,11.944444444444445,7.746031746031746,7.865079365079365,4.595238095238095,5.841269841269841,4.261904761904762,2.4761904761904763,1.1666666666666667,1.6031746031746033,1.1507936507936507,0.8968253968253969,0.19047619047619047,0.0,0.0
Northwick Park,0.0,0.0,0.0,0.03968253968253968,0.11904761904761904,0.49206349206349204,8.19047619047619,13.158730158730158,10.595238095238095,9.96031746031746,6.634920634920634,5.666666666666667,11.3015873015873,26.412698412698415,26.341269841269842,20.365079365079367,18.3015873015873,19.507936507936506,10.595238095238095,3.8888888888888893,2.9523809523809526,4.388888888888888,4.031746031746032,1.8333333333333335,2.0634920634920633,1.9444444444444444,1.6825396825396828,1.6825396825396826,2.238095238095238,1.6031746031746033,1.992063492063492,1.9126984126984126,1.5793650793650793,2.3095238095238093,2.8888888888888893,2.015873015873016,2.4523809523809526,3.888888888888889,2.507936507936508,2.357142857142857,2.420634920634921,4.9523809523809526,4.190476190476191,4.690476190476191,3.896825396825397,4.436507936507937,7.968253968253968,7.071428571428571,14.095238095238095,12.785714285714286,13.603174603174603,16.071428571428573,13.531746031746032,14.738095238095237,16.38095238095238,15.253968253968253,14.69047619047619,10.007936507936508,6.507936507936508,5.468253968253968,4.396825396825397,4.325396825396825,3.666666666666667,2.5,2.388888888888889,1.7063492063492065,1.6904761904761907,1.4126984126984126,1.507936507936508,1.4047619047619047,1.5158730158730158,0.8492063492063492,1.0873015873015874,1.1507936507936507,1.6984126984126986,1.5317460317460316,0.9365079365079365,1.0555555555555556,0.6349206349206349,0.5079365079365079,0.3333333333333333,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0
Northwood,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.30158730158730157,0.5079365079365079,1.0317460317460319,3.111111111111111,6.793650793650794,6.730158730158729,27.166666666666664,43.801587301587304,60.079365079365076,47.22222222222222,19.88095238095238,8.880952380952381,6.055555555555555,2.873015873015873,3.5952380952380953,2.1904761904761907,2.420634920634921,1.5476190476190474,1.5555555555555556,1.8650793650793651,2.801587301587302,1.9841269841269842,2.134920634920635,2.2936507936507935,4.325396825396825,2.2063492063492065,2.7063492063492065,2.9761904761904763,2.4761904761904763,2.4761904761904763,2.071428571428571,3.2777777777777777,4.420634920634921,2.7063492063492065,4.65079365079365,3.8015873015873014,5.76984126984127,6.373015873015873,18.142857142857142,15.142857142857142,47.698412698412696,15.039682539682541,6.944444444444445,5.888888888888889,9.722222222222221,8.206349206349206,9.015873015873016,10.087301587301587,11.547619047619047,9.468253968253968,10.769841269841269,9.515873015873016,10.642857142857142,7.134920634920635,5.777777777777778,3.1587301587301586,3.4444444444444446,1.3333333333333335,0.5634920634920635,0.6031746031746031,0.49206349206349204,0.49206349206349204,0.6111111111111112,0.6984126984126984,0.873015873015873,0.8333333333333334,0.6666666666666666,0.5952380952380953,1.0,1.7857142857142858,1.0238095238095237,0.42063492063492064,0.5158730158730158,0.2222222222222222,0.09523809523809523,0.2857142857142857,0.0,0.0,0.0,0.0
Northwood Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0634920634920635,0.25396825396825395,0.6507936507936508,1.5952380952380953,3.0317460317460316,15.753968253968253,19.341269841269842,17.166666666666668,12.80952380952381,7.174603174603175,2.7698412698412698,4.007936507936508,1.222222222222222,1.7936507936507935,1.1746031746031746,1.4365079365079365,1.0476190476190477,1.4603174603174605,1.0873015873015874,1.8571428571428572,1.5873015873015872,1.2698412698412698,1.0793650793650793,1.5238095238095237,1.1666666666666667,1.4047619047619047,2.0476190476190474,1.5396825396825395,0.9682539682539683,1.7698412698412698,1.380952380952381,1.7380952380952381,1.3492063492063493,2.7777777777777777,6.992063492063492,6.65079365079365,5.309523809523809,10.634920634920636,6.777777777777779,5.984126984126984,9.468253968253968,3.841269841269841,4.825396825396826,4.111111111111111,3.3571428571428568,3.0317460317460316,4.007936507936508,4.444444444444445,3.3333333333333335,5.095238095238096,3.9523809523809526,4.349206349206349,2.007936507936508,1.5873015873015874,0.6904761904761905,1.0476190476190477,0.30158730158730157,0.32539682539682535,0.21428571428571427,0.46825396825396826,0.32539682539682535,0.2222222222222222,0.31746031746031744,0.3412698412698413,0.21428571428571427,0.31746031746031744,0.39682539682539686,0.5873015873015873,0.373015873015873,0.31746031746031744,0.3333333333333333,0.2857142857142857,0.30158730158730157,0.1349206349206349,0.20634920634920634,0.0,0.0,0.0,0.0
Notting Hill Gate,0.0,0.0,0.0,0.0,0.0,0.6904761904761905,1.6031746031746033,5.484126984126984,12.968253968253968,25.555555555555557,48.460317460317455,75.20634920634922,111.01587301587301,131.20634920634922,126.56349206349206,142.03174603174602,160.84126984126985,144.57142857142856,114.3174603174603,97.4126984126984,77.62698412698413,62.51587301587301,40.62698412698413,31.325396825396826,35.7936507936508,29.11904761904762,27.246031746031747,28.865079365079367,32.3968253968254,31.61904761904762,36.476190476190474,37.6031746031746,42.888888888888886,39.91269841269841,36.72222222222222,36.96825396825397,39.888888888888886,38.182539682539684,38.27777777777777,40.182539682539684,45.75396825396825,41.857142857142854,46.11904761904762,50.976190476190474,53.801587301587304,53.992063492063494,68.74603174603175,70.93650793650794,82.73809523809524,86.69047619047619,128.19047619047618,121.78571428571429,139.5873015873016,139.4920634920635,167.6031746031746,168.38095238095238,153.05555555555554,134.42857142857144,116.76984126984128,97.0873015873016,76.26190476190476,59.84126984126984,46.57142857142857,37.01587301587302,29.53174603174603,22.452380952380953,20.3015873015873,21.91269841269841,16.944444444444443,16.92857142857143,19.444444444444443,19.119047619047617,18.055555555555557,22.57142857142857,20.80952380952381,17.0,14.547619047619047,10.15873015873016,8.277777777777779,5.2063492063492065,4.595238095238095,4.166666666666667,1.2857142857142858,1.119047619047619,0.7936507936507936,0.9682539682539683
Oakwood,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.5238095238095238,0.29365079365079366,1.0158730158730158,1.9603174603174605,1.8650793650793651,3.325396825396825,8.277777777777779,12.0,13.436507936507937,10.769841269841269,4.436507936507937,3.476190476190476,3.3253968253968256,3.507936507936508,4.3809523809523805,4.023809523809524,2.8015873015873014,3.0873015873015874,3.9047619047619047,3.3492063492063493,3.3968253968253967,3.031746031746032,3.611111111111111,3.5396825396825395,3.261904761904762,4.222222222222222,3.0634920634920633,3.444444444444444,2.952380952380952,2.357142857142857,3.595238095238095,4.214285714285714,3.6349206349206353,3.373015873015873,7.9523809523809526,10.968253968253968,6.182539682539682,6.277777777777778,5.611111111111111,6.4523809523809526,7.746031746031746,5.84920634920635,6.595238095238095,5.396825396825397,7.904761904761905,8.650793650793652,8.84920634920635,7.341269841269842,7.492063492063492,7.65079365079365,5.65079365079365,5.023809523809524,3.4761904761904763,2.357142857142857,2.206349206349206,2.142857142857143,2.412698412698413,1.246031746031746,1.5952380952380953,1.2063492063492063,1.119047619047619,1.1349206349206349,1.1825396825396826,1.626984126984127,2.126984126984127,3.0555555555555554,3.738095238095238,6.119047619047619,4.7142857142857135,1.9206349206349207,2.1587301587301586,1.4682539682539681,1.6904761904761905,0.873015873015873,0.6507936507936508,0.7380952380952381,0.8809523809523809,0.14285714285714285,0.12698412698412698
Old Street,0.0,0.0,0.0,0.0,0.03968253968253968,0.03968253968253968,0.3333333333333333,0.6349206349206349,3.952380952380952,13.333333333333334,28.26984126984127,49.65873015873016,75.15873015873015,118.96031746031746,160.73015873015873,237.02380952380952,353.73015873015873,488.62698412698415,470.1666666666667,367.2539682539682,315.14285714285717,230.84920634920636,153.28571428571428,88.43650793650794,75.4920634920635,67.30952380952381,52.72222222222222,48.78571428571429,56.27777777777778,60.39682539682539,63.24603174603175,68.02380952380952,73.52380952380952,73.17460317460318,68.70634920634922,68.1984126984127,73.26984126984127,70.20634920634922,68.0,65.06349206349206,66.04761904761905,70.61904761904762,70.4920634920635,74.53174603174604,77.12698412698413,81.68253968253968,109.28571428571428,113.45238095238096,134.74603174603175,147.8253968253968,241.78571428571428,274.8412698412698,352.4761904761905,409.2857142857143,440.07936507936506,454.92063492063494,381.73015873015873,306.5952380952381,253.73015873015873,197.06349206349205,156.95238095238096,119.87301587301587,101.51587301587301,83.04761904761905,72.81746031746032,67.97619047619048,62.66666666666667,59.15079365079365,55.93650793650794,59.11904761904762,66.17460317460318,64.11904761904762,64.44444444444444,69.27777777777777,75.88095238095238,66.41269841269842,51.833333333333336,41.04761904761905,46.166666666666664,41.87301587301587,12.103174603174605,3.134920634920635,0.0,0.0,0.0,0.0
Osterley,0.0,0.0,0.0,0.03968253968253968,0.0,0.0,0.11904761904761904,0.9047619047619048,0.6507936507936508,2.1507936507936507,3.7063492063492065,3.7698412698412698,1.8650793650793651,5.428571428571429,9.150793650793652,8.428571428571427,5.690476190476191,3.992063492063492,2.0634920634920637,1.7857142857142856,1.5158730158730158,1.0714285714285714,0.5873015873015873,0.9761904761904762,0.6031746031746031,0.9523809523809524,0.7777777777777778,0.6507936507936508,0.5238095238095238,0.8650793650793651,0.8253968253968254,0.46825396825396826,1.1111111111111112,0.6507936507936508,0.5634920634920635,0.7222222222222222,0.6587301587301587,0.47619047619047616,0.6746031746031745,0.373015873015873,0.5714285714285714,0.38888888888888884,0.45238095238095233,0.7619047619047619,0.5793650793650793,0.5634920634920635,0.9365079365079365,1.3888888888888888,1.2222222222222223,1.7857142857142858,1.8888888888888888,3.246031746031746,5.968253968253968,5.968253968253968,5.650793650793651,5.7063492063492065,4.76984126984127,4.801587301587301,4.174603174603175,2.4126984126984126,1.7301587301587302,2.5238095238095237,1.7142857142857142,0.7857142857142857,0.6428571428571428,0.746031746031746,0.3412698412698413,0.7222222222222222,0.6587301587301588,0.5873015873015872,0.9444444444444444,0.40476190476190477,1.126984126984127,1.7380952380952381,1.9126984126984128,1.4761904761904763,0.4126984126984127,0.5,0.2698412698412698,0.18253968253968253,0.25396825396825395,0.1746031746031746,0.15079365079365079,0.0873015873015873,0.0,0.07142857142857142
Oval,0.0,0.0,0.0,0.0,0.03968253968253968,0.047619047619047616,0.7063492063492064,2.1587301587301586,5.833333333333333,10.38095238095238,13.61111111111111,21.730158730158728,37.24603174603175,44.46825396825397,58.44444444444444,70.26984126984127,82.03968253968253,72.23015873015873,70.80952380952381,46.54761904761905,41.976190476190474,17.626984126984127,11.61111111111111,11.182539682539682,11.912698412698411,10.126984126984127,8.746031746031747,8.1984126984127,9.515873015873016,9.515873015873016,9.182539682539684,10.134920634920636,11.230158730158731,8.420634920634921,9.0,9.706349206349206,8.904761904761905,8.063492063492063,7.833333333333334,12.896825396825397,12.317460317460318,13.634920634920636,12.714285714285715,16.73809523809524,18.11111111111111,15.031746031746032,19.5,20.26984126984127,26.841269841269842,27.57936507936508,39.833333333333336,51.198412698412696,85.33333333333334,92.52380952380952,117.0,102.0,91.64285714285714,79.11111111111111,60.992063492063494,45.769841269841265,35.230158730158735,29.158730158730158,25.96825396825397,20.373015873015873,26.436507936507937,22.158730158730158,25.523809523809526,32.53174603174603,26.460317460317462,20.682539682539684,17.571428571428573,18.38095238095238,21.055555555555557,20.95238095238095,19.42063492063492,17.436507936507937,14.912698412698413,10.785714285714286,8.23015873015873,6.436507936507937,5.380952380952381,6.0396825396825395,1.6349206349206349,0.6507936507936508,0.4444444444444444,0.5396825396825397
