ExitStationName,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_48,slot_49,slot_50,slot_51,slot_52,slot_53,slot_54,slot_55,slot_56,slot_57,slot_58,slot_59,slot_60,slot_61,slot_62,slot_63,slot_64,slot_65,slot_66,slot_67,slot_68,slot_69,slot_70,slot_71,slot_72,slot_73,slot_74,slot_75,slot_76,slot_77,slot_78,slot_79,slot_80,slot_81,slot_82,slot_83,slot_84,slot_85,slot_86
Harrow-on-the-Hill,0,0,0.0,0.0,0.0,0.07936507936507936,0.12698412698412698,1.9682539682539681,2.5634920634920637,5.5396825396825395,4.325396825396825,5.642857142857143,14.944444444444445,17.293650793650794,24.976190476190474,25.944444444444443,24.603174603174605,44.72222222222222,30.182539682539684,24.49206349206349,17.341269841269842,16.714285714285715,11.079365079365079,11.968253968253968,12.182539682539682,14.03968253968254,14.007936507936508,13.428571428571429,14.88888888888889,15.301587301587302,14.34920634920635,15.785714285714286,16.38888888888889,16.817460317460316,18.142857142857142,16.61904761904762,18.071428571428573,18.444444444444443,16.206349206349206,19.1984126984127,24.833333333333332,24.5,25.134920634920636,26.793650793650794,32.72222222222222,43.22222222222222,44.03968253968254,47.67460317460318,65.0079365079365,67.97619047619048,65.9047619047619,84.22222222222223,102.53174603174604,116.94444444444444,122.38888888888889,126.73809523809524,117.34126984126983,106.13492063492063,75.92063492063492,60.72222222222222,55.73015873015873,49.01587301587302,33.34126984126984,24.563492063492063,21.6984126984127,18.30952380952381,13.26984126984127,11.857142857142858,10.11111111111111,8.642857142857142,7.746031746031746,8.626984126984127,8.992063492063492,9.825396825396826,10.444444444444445,9.11111111111111,6.373015873015873,7.579365079365079,5.777777777777778,3.4682539682539684,3.2698412698412698,4.809523809523809,1.7142857142857142,0.1349206349206349,0.0,0.0
Hatton Cross,0,0,0.0,0.0,0.1746031746031746,0.1349206349206349,0.24603174603174602,0.5476190476190477,1.8253968253968254,2.0634920634920637,0.5634920634920635,1.1349206349206349,0.9444444444444444,1.3015873015873016,2.0,5.420634920634921,6.619047619047619,6.849206349206349,6.579365079365079,3.2301587301587302,2.1507936507936507,0.6825396825396826,0.8968253968253969,0.20634920634920634,0.03968253968253968,0.373015873015873,0.5158730158730159,0.35714285714285715,0.3888888888888889,0.5476190476190477,0.3412698412698413,1.1031746031746033,0.49206349206349204,1.3253968253968254,1.3015873015873016,1.0238095238095237,1.8888888888888888,1.8492063492063493,2.3174603174603177,4.571428571428571,2.873015873015873,2.4603174603174605,1.5396825396825398,2.2142857142857144,1.9682539682539681,3.373015873015873,2.2857142857142856,2.7142857142857144,3.6746031746031744,5.023809523809524,4.849206349206349,5.722222222222222,5.698412698412699,6.5,6.714285714285714,6.277777777777778,5.253968253968254,6.2936507936507935,4.571428571428571,3.8412698412698414,3.2698412698412698,3.4047619047619047,3.6587301587301586,2.9047619047619047,2.2698412698412698,2.7142857142857144,2.611111111111111,2.492063492063492,1.6111111111111112,1.507936507936508,1.9603174603174602,3.4126984126984126,2.5396825396825395,2.238095238095238,2.3174603174603177,2.515873015873016,1.246031746031746,0.5873015873015873,0.8571428571428571,0.29365079365079366,0.3492063492063492,0.3333333333333333,0.12698412698412698,0.47619047619047616,0.0873015873015873,0.09523809523809523
Heathrow Terminal 5 LU,0,0,0.0,5.801587301587301,6.944444444444445,5.095238095238095,3.611111111111111,3.2777777777777777,6.2063492063492065,6.801587301587301,3.4047619047619047,4.785714285714286,3.3968253968253967,3.9047619047619047,3.0317460317460316,1.626984126984127,3.761904761904762,4.349206349206349,2.380952380952381,2.9523809523809526,2.1825396825396823,2.1587301587301586,1.9365079365079365,2.126984126984127,2.6984126984126986,3.1031746031746033,3.3968253968253967,2.5555555555555554,3.5634920634920637,4.76984126984127,4.238095238095238,4.674603174603175,4.396825396825397,8.865079365079366,8.912698412698413,11.095238095238095,11.19047619047619,7.412698412698413,2.865079365079365,1.9841269841269842,1.8888888888888888,1.5317460317460319,1.8571428571428572,1.2142857142857142,1.746031746031746,1.6507936507936507,2.3015873015873014,1.7936507936507937,1.5396825396825398,1.9603174603174602,2.119047619047619,2.761904761904762,2.1825396825396823,2.4365079365079363,2.507936507936508,1.3412698412698412,1.4682539682539681,1.6111111111111112,0.6111111111111112,0.7619047619047619,0.19047619047619047,0.29365079365079366,0.12698412698412698,0.49206349206349204,0.2777777777777778,0.0873015873015873,0.6666666666666666,0.6428571428571429,1.0873015873015872,0.0873015873015873,0.07936507936507936,0.11904761904761904,0.03968253968253968,0.10317460317460317,0.1349206349206349,0.047619047619047616,0.07142857142857142,0.16666666666666666,0.0,0.0,0.03968253968253968,0.0,0.03968253968253968,0.0,0.03968253968253968,0.0
Heathrow Terminals 123 LU,0,0,0.16666666666666666,2.015873015873016,2.6507936507936507,4.158730158730159,6.880952380952381,2.4365079365079363,2.2698412698412698,3.8174603174603177,2.1587301587301586,3.0,2.880952380952381,3.0873015873015874,3.3968253968253967,3.5714285714285716,4.285714285714286,5.238095238095238,3.984126984126984,2.4126984126984126,2.1031746031746033,2.3015873015873014,2.126984126984127,2.1507936507936507,1.7777777777777777,1.6904761904761905,1.8412698412698412,2.4365079365079363,2.8174603174603177,2.7698412698412698,2.3968253968253967,4.5,3.5,5.841269841269841,7.7936507936507935,11.38888888888889,11.047619047619047,10.253968253968255,12.11111111111111,13.444444444444445,6.190476190476191,6.5,4.746031746031746,5.825396825396825,3.9682539682539684,3.753968253968254,2.9603174603174605,6.373015873015873,4.2936507936507935,5.0476190476190474,4.920634920634921,6.246031746031746,6.158730158730159,6.0476190476190474,7.301587301587301,8.817460317460318,5.817460317460317,4.341269841269841,4.944444444444445,4.23015873015873,2.2777777777777777,1.7857142857142858,1.1587301587301588,1.6666666666666667,2.0,1.9603174603174602,2.134920634920635,2.1746031746031744,0.9285714285714286,1.1825396825396826,2.7063492063492065,8.341269841269842,1.9523809523809523,1.6825396825396826,0.8174603174603174,0.8809523809523809,0.1746031746031746,0.03968253968253968,0.03968253968253968,0.0,0.21428571428571427,0.047619047619047616,0.0873015873015873,0.07936507936507936,0.0,0.0
Hendon Central,0,0,0.0,0.0,0.0,0.0,0.0,0.03968253968253968,0.0,0.30952380952380953,1.253968253968254,2.865079365079365,3.3253968253968256,5.619047619047619,12.968253968253968,19.214285714285715,21.214285714285715,20.11904761904762,14.119047619047619,6.801587301587301,6.714285714285714,7.23015873015873,3.3412698412698414,2.626984126984127,3.0793650793650795,3.888888888888889,3.142857142857143,3.2936507936507935,2.5793650793650795,2.9761904761904763,3.5476190476190474,2.992063492063492,3.4682539682539684,4.444444444444445,3.8333333333333335,3.238095238095238,2.9761904761904763,3.3015873015873014,2.8253968253968256,3.5317460317460316,5.277777777777778,5.611111111111111,6.9603174603174605,9.420634920634921,7.690476190476191,8.626984126984127,11.714285714285714,12.801587301587302,16.88888888888889,20.857142857142858,18.785714285714285,29.761904761904763,33.595238095238095,38.76984126984127,40.75396825396825,42.46031746031746,42.37301587301587,32.25396825396825,25.238095238095237,14.666666666666666,13.777777777777779,12.555555555555555,8.634920634920634,6.76984126984127,6.523809523809524,6.603174603174603,5.801587301587301,5.626984126984127,4.658730158730159,4.984126984126984,5.603174603174603,6.428571428571429,6.904761904761905,11.380952380952381,9.547619047619047,9.301587301587302,6.833333333333333,7.976190476190476,6.26984126984127,4.579365079365079,5.76984126984127,3.0555555555555554,2.119047619047619,1.4761904761904763,0.5555555555555556,0.6587301587301587
High Barnet,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.6825396825396826,3.373015873015873,8.880952380952381,20.436507936507937,15.182539682539682,19.77777777777778,9.944444444444445,1.5952380952380953,1.1984126984126984,1.0476190476190477,0.8650793650793651,0.7936507936507936,0.36507936507936506,0.35714285714285715,0.6031746031746031,0.15873015873015872,0.20634920634920634,0.3253968253968254,0.18253968253968253,0.3412698412698413,0.373015873015873,0.5238095238095238,0.6904761904761905,0.8095238095238095,0.9523809523809523,1.0158730158730158,0.5634920634920635,0.3888888888888889,0.5317460317460317,1.6666666666666667,2.1507936507936507,2.1666666666666665,2.7936507936507935,3.0873015873015874,5.349206349206349,10.079365079365079,6.5,9.30952380952381,8.76984126984127,11.476190476190476,14.03968253968254,17.166666666666668,20.22222222222222,26.261904761904763,25.650793650793652,22.658730158730158,19.523809523809526,16.849206349206348,10.11111111111111,7.658730158730159,5.904761904761905,5.317460317460317,2.3333333333333335,2.1587301587301586,2.5238095238095237,2.388888888888889,1.7301587301587302,1.753968253968254,2.4523809523809526,3.0396825396825395,3.2301587301587302,3.3015873015873014,4.309523809523809,7.007936507936508,5.579365079365079,3.9444444444444446,2.888888888888889,2.0,2.492063492063492,1.7142857142857142,1.3492063492063493,1.3095238095238095,0.9206349206349206,0.18253968253968253,0.047619047619047616
High Street Kensington,0,0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.5714285714285714,1.373015873015873,2.9444444444444446,5.674603174603175,11.507936507936508,17.261904761904763,9.714285714285714,8.722222222222221,15.817460317460318,29.071428571428573,31.333333333333332,21.38888888888889,21.023809523809526,21.253968253968253,15.785714285714286,10.404761904761905,11.166666666666666,12.523809523809524,10.222222222222221,8.825396825396826,9.642857142857142,11.976190476190476,11.23015873015873,11.222222222222221,12.222222222222221,11.373015873015873,12.11111111111111,11.079365079365079,9.698412698412698,10.619047619047619,10.253968253968255,7.873015873015873,10.261904761904763,10.126984126984127,8.119047619047619,8.53968253968254,9.063492063492063,10.15079365079365,10.53968253968254,8.428571428571429,10.53968253968254,8.515873015873016,11.761904761904763,11.428571428571429,14.61111111111111,17.03174603174603,19.555555555555557,21.857142857142858,20.857142857142858,18.96031746031746,14.714285714285714,9.420634920634921,6.650793650793651,4.698412698412699,2.7857142857142856,2.1507936507936507,2.365079365079365,2.2301587301587302,1.2777777777777777,1.8571428571428572,1.2142857142857142,2.007936507936508,2.0317460317460316,2.8095238095238093,3.2142857142857144,3.857142857142857,2.373015873015873,1.7301587301587302,1.3888888888888888,1.253968253968254,0.7222222222222222,0.626984126984127,0.3968253968253968,0.3492063492063492,0.03968253968253968,0.06349206349206349,0.0,0.0
Highbury & Islington,0,0,0.0,0.0,0.0,1.6031746031746033,0.2857142857142857,1.7301587301587302,6.2936507936507935,11.206349206349206,17.650793650793652,34.801587301587304,46.214285714285715,52.23809523809524,45.44444444444444,50.94444444444444,69.63492063492063,96.91269841269842,83.4047619047619,69.03968253968254,59.58730158730159,52.92063492063492,29.00793650793651,17.03968253968254,15.61111111111111,17.761904761904763,12.825396825396826,11.738095238095237,14.515873015873016,18.46825396825397,17.793650793650794,19.682539682539684,20.11111111111111,21.634920634920636,19.96825396825397,21.214285714285715,23.26984126984127,24.555555555555557,22.849206349206348,24.206349206349206,28.50793650793651,33.41269841269841,31.857142857142858,35.888888888888886,37.34920634920635,42.785714285714285,46.73809523809524,51.44444444444444,71.34920634920636,72.92063492063492,72.4920634920635,84.7936507936508,113.64285714285714,135.47619047619048,152.83333333333334,169.18253968253967,189.0,190.96825396825398,155.5952380952381,125.45238095238095,106.44444444444444,84.75396825396825,65.30952380952381,50.285714285714285,45.37301587301587,39.507936507936506,35.476190476190474,29.753968253968253,29.063492063492063,29.547619047619047,29.03174603174603,28.484126984126984,32.87301587301587,32.91269841269841,28.285714285714285,25.904761904761905,22.96825396825397,21.00793650793651,17.753968253968253,15.880952380952381,20.793650793650794,12.38888888888889,2.9206349206349205,2.3968253968253967,2.2857142857142856,1.5873015873015872
Highgate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1587301587301588,1.9523809523809523,3.4365079365079363,4.841269841269841,0.5476190476190477,0.6507936507936508,0.35714285714285715,0.49206349206349204,1.5396825396825398,0.3888888888888889,0.07936507936507936,0.25396825396825395,0.11904761904761904,0.2698412698412698,0.5158730158730159,0.4126984126984127,0.42063492063492064,0.30158730158730157,0.36507936507936506,0.3333333333333333,0.5634920634920635,0.9603174603174603,0.6984126984126984,0.5476190476190477,1.1904761904761905,1.3333333333333333,1.2142857142857142,1.6984126984126984,2.507936507936508,2.8174603174603177,4.555555555555555,4.158730158730159,6.2063492063492065,9.547619047619047,8.682539682539682,9.642857142857142,21.246031746031747,18.396825396825395,15.126984126984127,19.07936507936508,32.12698412698413,39.42857142857143,45.642857142857146,52.07936507936508,57.43650793650794,57.3968253968254,42.1031746031746,35.08730158730159,26.793650793650794,20.682539682539684,13.825396825396826,10.563492063492063,9.61111111111111,7.484126984126984,6.817460317460317,7.0,8.452380952380953,9.61111111111111,8.817460317460318,10.928571428571429,11.293650793650794,13.880952380952381,12.531746031746032,8.166666666666666,6.658730158730159,5.388888888888889,3.7857142857142856,3.2857142857142856,2.1746031746031744,1.373015873015873,1.1984126984126984,0.29365079365079366,0.2619047619047619,0.03968253968253968
Hillingdon,0,0,0.0,0.0,0.0,0.0,0.03968253968253968,0.0,0.0,0.03968253968253968,0.09523809523809523,0.1984126984126984,0.4444444444444444,0.746031746031746,1.0873015873015872,2.4444444444444446,2.2777777777777777,0.7857142857142857,0.03968253968253968,0.0,0.11904761904761904,0.03968253968253968,0.05555555555555555,0.0873015873015873,0.03968253968253968,0.0,0.3333333333333333,0.3888888888888889,0.36507936507936506,0.8253968253968254,0.5634920634920635,0.8015873015873016,0.7142857142857143,0.5714285714285714,0.2698412698412698,0.3253968253968254,0.42063492063492064,0.21428571428571427,0.25396825396825395,0.15079365079365079,0.29365079365079366,0.626984126984127,0.6507936507936508,0.9285714285714286,1.1825396825396826,0.6666666666666666,0.6349206349206349,1.3888888888888888,1.3253968253968254,1.1587301587301588,0.873015873015873,1.6031746031746033,1.4206349206349207,1.9444444444444444,1.9603174603174602,3.119047619047619,4.174603174603175,3.5634920634920637,2.634920634920635,1.2142857142857142,1.0317460317460319,0.9126984126984127,0.16666666666666666,0.7777777777777778,0.3412698412698413,0.3968253968253968,0.11904761904761904,0.23015873015873015,0.1746031746031746,0.5317460317460317,0.1984126984126984,0.38095238095238093,1.007936507936508,1.1904761904761905,1.1984126984126984,1.1587301587301588,1.8571428571428572,2.619047619047619,0.8492063492063492,0.8412698412698413,0.7380952380952381,0.1349206349206349,0.10317460317460317,0.03968253968253968,0.0,0.0
